iso_code,country_name,is_blue_zone,latitude,longitude,alcohol_per_capita,clean_water_access_pct,death_rate,fertility_rate,forest_area_pct,gdp_per_capita,health_expenditure_pc,life_expectancy,data_year,life_expectancy_female,life_expectancy_male,physicians_per_1000,pm25_air_pollution,population_65plus_pct,population_total,urban_population_pct,life_expectancy_who,gini_index,adult_literacy_rate,tertiary_enrollment,internet_users_pct,land_area_km2,measles_immunization,suicide_rate,gni_per_capita,mean_temperature,mean_elevation,abs_latitude,population_density,female_le_advantage,log_gdp_per_capita
AFG,Afghanistan,0,33.9391,67.71,0.011,29.9074476538073,5.797,4.84,1.85278199408184,413.757894705303,59.06770706,66.035,2023,67.536,64.467,0.317,46.0870936659706,2.37753752819851,41454761.0,25.4730529631167,61.0,,37.2700004577637,10.85435962677,17.7089,652230.0,55.0,3.6,370.0,12.6,1884.0,33.9391,63.558500835594806,3.0690000000000026,6.027694963742444
ALB,Albania,0,41.1533,20.1683,4.47,70.7653945370075,8.332,1.348,28.7919708029197,9730.86921906893,590.62799072,79.602,2023,81.446,77.728,1.879,15.7070036417042,16.3020000675759,2414095.0,58.2106086137857,76.4,29.4,97.6800003051758,64.7293520237257,83.1356,27400.0,83.0,2.75,8730.0,15.2,708.0,41.1533,88.10565693430657,3.7180000000000035,9.183161265575237
ARG,Argentina,0,-38.4161,-63.6167,8.05,,7.668,1.5,10.3212951412107,14261.8465667948,1456.98596191,77.395,2023,79.875,74.805,5.106,14.9081737974407,12.2030217969226,45538401.0,92.1945132257907,74.6,42.4,99.1399993896484,107.822574129434,89.229,2736690.0,80.0,7.94,12920.0,14.8,595.0,38.4161,16.63995593216623,5.069999999999993,9.565413293036885
AUS,Australia,0,-25.2744,133.7751,10.29,,6.9,1.5,17.4213145571644,65058.3773146674,6980.38525391,83.0512195121951,2023,85.1,81.1,4.086,8.25171746070811,17.384024966198,26659922.0,87.4866955653765,81.3,33.8,,104.64835357666,97.0631,7692020.0,91.0,13.08,63320.0,21.7,330.0,25.2744,3.4659194853887536,4.0,11.083055629041906
AUT,Austria,0,47.5162,14.5501,11.51,98.8939971369106,9.8,1.32,47.2402653902084,56579.504175468,6267.93164063,81.5414634146342,2023,84.0,79.2,5.515,10.9335136815146,20.1640196753077,9131761.0,69.2265358276021,83.3,31.2,,91.6818237304688,95.3347,82520.0,90.0,14.51,55890.0,6.3,910.0,47.5162,110.66118516723219,4.799999999999997,10.943419755658345
BEL,Belgium,0,50.5039,4.4699,9.43,99.5609157233581,9.4,1.47,22.604446776415,55291.4754541329,5931.01464844,82.3975609756098,2023,84.6,80.3,3.574,11.2160664677018,20.1452749547016,11779946.0,87.551492636772,83.7,26.8,,82.1475601196289,94.6263,30494.0,96.0,18.36,55520.0,9.8,181.0,50.5039,386.30373188168164,4.299999999999997,10.920392110515174
BGD,Bangladesh,0,23.685,90.3563,0.092,59.1428021110632,5.01,2.163,14.4899215263887,2551.01773827307,53.46432495,74.672,2023,76.373,73.032,0.722,42.3813762359965,6.32054805417649,171466990.0,32.1578465036834,71.6,30.9,79.0,24.2003442708621,44.5027,129980.0,96.0,2.81,2880.0,25.5,85.0,23.685,1319.1797968918295,3.341000000000008,7.844639595174486
BGR,Bulgaria,0,42.7339,25.4858,11.62,96.2874915022323,15.7,1.81,36.2196020633751,15853.208636704,1257.87597656,75.7073170731707,2023,79.6,72.0,4.328,17.1474236131426,21.8324383446666,6446596.0,73.7322671584613,71.3,39.5,,79.8532333374023,80.3896,108560.0,92.0,9.51,14240.0,10.6,472.0,42.7339,59.38279292557111,7.599999999999994,9.671190273188396
BIH,Bosnia and Herzegovina,0,43.9159,17.6791,5.87,86.4004716802823,13.457,1.486,42.7326171875,8663.02326458629,772.88568115,77.85,2023,80.903,74.424,2.584,26.6019532713554,21.642423894209,3185073.0,51.5657239834305,74.8,,,45.5027618408203,83.3772,51200.0,55.0,8.97,8280.0,9.8,500.0,43.9159,62.20845703125,6.478999999999999,9.066934473878778
BOL,Bolivia,0,-16.2902,-63.5887,3.59,,7.172,2.547,46.3457431920982,4274.70820547613,255.04104614,68.581,2023,71.145,66.128,1.284,22.879459074231,5.55046673477261,12244159.0,70.9151414044538,65.4,42.1,95.5500030517578,,70.2368,1083300.0,68.0,4.2,4230.0,21.3,1192.0,16.2902,11.302648389181206,5.016999999999996,8.36070502975009
BRA,Brazil,0,-14.235,-51.9253,7.7,87.9528269411722,7.077,1.619,58.9818729765235,10377.5897719195,1009.83563232,75.848,2023,78.983,72.76,2.357,12.1793252040724,10.6336314676644,211140729.0,87.6159710235763,69.0,51.6,94.5839624750993,60.3906211853027,84.1506,8358140.0,87.0,7.59,9310.0,25.0,320.0,14.235,25.261688485715723,6.222999999999999,9.247500287366694
BWA,Botswana,0,-22.3285,24.6849,7.27,63.9157689150589,5.724,2.732,26.2908263194114,7826.35376483298,489.59677124,69.163,2023,71.698,66.673,0.379,18.9057549925814,3.96966911931465,2480244.0,67.0212655349864,63.2,54.9,,20.5658232475186,81.36,566730.0,97.0,8.35,8360.0,22.2,1013.0,22.3285,4.376412048065216,5.0249999999999915,8.965379770794552
CAN,Canada,0,56.1304,-106.3468,9.89,96.8908033429561,8.1,1.26,39.4617117321106,54220.3285039875,6186.65234375,81.6465853658537,2023,83.89,79.51,2.819,6.56566994375263,19.3581192161771,40083484.0,82.5250564408346,79.4,31.1,,76.2586212158203,93.9564,8788700.0,92.0,9.44,54660.0,-5.4,487.0,56.1304,4.560797842684356,4.3799999999999955,10.900829624854799
CHE,Switzerland,0,46.8182,8.2275,10.07,96.7000003832463,8.1,1.33,32.3827380818297,100623.549627296,11783.66992188,84.0560975609756,2023,85.9,82.3,4.477,9.06104968621636,19.6113808360035,8888822.0,85.1854212679815,81.5,33.8,,74.0060882568359,,,95.0,14.02,95740.0,5.5,1350.0,46.8182,,3.6000000000000085,11.519151538957269
CHL,Chile,0,-35.6751,-71.543,7.56,97.7260945752252,6.495,1.167,25.0116461113584,17067.0364799154,1736.52038574,81.167,2023,83.084,79.24,3.334,23.2750668049145,13.6933190598527,19658835.0,88.8158617217972,76.7,43.0,96.4000015258789,104.734062194824,94.4574,742831.64,94.0,7.69,15950.0,8.5,1871.0,35.6751,26.46472490051716,3.8440000000000083,9.74496278163367
CHN,China,0,35.8617,104.1954,4.58,,7.87,0.999,24.0319389958256,12951.1782397043,763.37762451,77.953,2023,80.926,75.201,3.112,34.8105237153218,14.3160774690688,1410710000.0,65.5301448035523,80.5,36.0,96.7399978637695,74.5933014618366,90.6,9388210.0,95.0,8.95,13750.0,7.0,1840.0,35.8617,150.2640013378482,5.7250000000000085,9.469019256821174
COL,Colombia,0,4.5709,-74.2973,4.24,74.1523775311481,5.398,1.645,52.7661596214511,7000.83660501046,571.15496826,77.725,2023,80.452,74.95,2.535,14.1832514905064,9.37542803553496,52321152.0,78.275571579544,77.6,53.9,95.4625553716428,59.2901382446289,77.3369,1109500.0,93.0,4.96,6720.0,24.5,593.0,4.5709,47.15741505182515,5.501999999999995,8.85392776576825
CRI,Costa Rica,1,9.7489,-83.7534,3.4,80.5037076075396,5.457,1.33,60.3991382687035,16942.0268119375,1163.30224609,80.799,2023,83.42,78.129,2.687,14.3075712471404,11.7188426539051,5105525.0,78.8819393641702,75.9,46.7,,55.0202903747559,85.3951,51060.0,93.0,8.06,14260.0,25.1,746.0,9.7489,99.99069721895809,5.290999999999997,9.737611630635607
CZE,Czech Republic,0,49.8175,15.473,11.99,98.1457976100181,10.4,1.45,34.7623883740408,31761.5944102491,2671.08398438,79.8780487804878,2023,82.9,77.0,4.352,14.1110711384133,20.5459005583495,10864042.0,72.7352388396817,80.3,25.7,,66.7282867431641,85.994,77167.31,87.0,13.33,28540.0,7.5,433.0,49.8175,140.7855476626048,5.900000000000006,10.366044600004926
DEU,Germany,0,51.1657,10.4515,11.84,99.9168282325382,12.3,1.39,32.6789342643734,54776.7668235491,6394.62255859,80.5414634146342,2023,83.0,78.2,4.534,10.2876894329414,22.7900439454493,83287273.0,81.9034366692129,82.9,32.4,,78.5947494506836,92.4764,349430.0,96.0,12.9,55420.0,8.5,263.0,51.1657,238.35181009071917,4.799999999999997,10.91103967571281
DNK,Denmark,0,56.2639,9.5018,9.49,99.9188250709331,9.8,1.5,15.7815,68043.5466971243,6510.625,81.8536585365854,2023,83.8,80.0,4.498,9.06983927345931,20.6001829312424,5946952.0,88.552638542867,82.9,29.9,,81.2308197021484,98.7756,40000.0,95.0,10.46,72080.0,7.7,34.0,56.2639,148.6738,3.799999999999997,11.127917868162019
DZA,Algeria,0,28.0339,1.6596,0.54,68.9678679715734,4.641,2.766,0.830314224054683,5370.477235078,233.37947083,76.261,2023,77.696,74.895,1.66,25.5526558310447,6.37685866623239,46164219.0,74.732808364138,76.6,,,55.5320185816789,76.9081,2381740.0,99.0,2.18,4950.0,22.5,800.0,28.0339,19.382560229076223,2.801000000000002,8.588858240003601
ECU,Ecuador,0,-1.8312,-78.1834,2.54,69.6689253276622,5.128,1.823,49.5450958286359,6737.84748379638,509.49414063,77.392,2023,80.139,74.664,2.313,16.6570210758922,8.09288255232192,17980083.0,63.1307729554263,71.0,44.6,96.2600021362305,67.8851161961618,72.6943,248360.0,74.0,7.56,6590.0,22.0,1117.0,1.8312,72.39524480592688,5.474999999999994,8.81564419281541
EGY,Egypt,0,26.0975,30.0444,0.13,78.3429755014027,5.461,2.75,0.0451855944547692,3456.78968456253,141.41111755,71.633,2023,73.809,69.493,0.671,54.8587056496436,4.96968538776552,114535772.0,42.7098115041919,66.7,28.5,79.4565788949049,37.9005584716797,72.6899,995450.0,96.0,0.63,3840.0,22.1,321.0,26.0975,115.05929177758803,4.3160000000000025,8.14838484442906
ESP,Spain,0,40.4637,-3.7492,9.16,99.4743158229589,9.0,1.12,37.1925889548355,33493.2225409111,3106.62011719,83.8829268292683,2023,86.7,81.2,4.294,9.58105460690675,20.6537075238774,48352528.0,80.128491001856,80.0,33.4,99.6999969482422,93.7303466796875,,,96.0,8.72,32980.0,13.3,660.0,40.4637,,5.5,10.41912824147463
