iso_code,year,alcohol_per_capita,clean_water_access_pct,death_rate,fertility_rate,forest_area_pct,gdp_per_capita,health_expenditure_pc,life_expectancy,life_expectancy_female,life_expectancy_male,physicians_per_1000,pm25_air_pollution,population_65plus_pct,population_total,urban_population_pct,life_expectancy_who,country_name,is_blue_zone,blue_zone_region,latitude,longitude,gini_index
AFG,1960,,,31.672,7.282,,,,32.799,33.549,32.136,0.035,,2.82336216754241,9035043.0,8.12255149340207,,Afghanistan,0,,33.9391,67.71,
AFG,1961,,,31.129,7.284,,,,33.291,34.043,32.626,,,2.80935715469461,9214083.0,8.38959494931345,,Afghanistan,0,,33.9391,67.71,
AFG,1962,,,30.63,7.292,,,,33.757,34.502,33.098,,,2.79283455010343,9404406.0,8.66266423654956,,Afghanistan,0,,33.9391,67.71,
AFG,1963,,,30.168,7.302,,,,34.201,34.945,33.543,,,2.77505711653314,9604487.0,8.94270943787613,,Afghanistan,0,,33.9391,67.71,
AFG,1964,,,29.672,7.304,,,,34.673,35.428,34.004,,,2.75779223783048,9814318.0,9.23113447844093,,Afghanistan,0,,33.9391,67.71,
AFG,1965,,,29.193,7.305,,,,35.124,35.9,34.438,0.063,,2.74167264804529,10036008.0,9.52934328339171,,Afghanistan,0,,33.9391,67.71,
AFG,1966,,,28.733,7.32,,,,35.583,36.38,34.877,,,2.72675559434446,10266395.0,9.83873977787624,,Afghanistan,0,,33.9391,67.71,
AFG,1967,,,28.265,7.339,,,,36.042,36.851,35.324,,,2.71324112344242,10505959.0,10.1607278870423,,Afghanistan,0,,33.9391,67.71,
AFG,1968,,,27.801,7.363,,,,36.51,37.281,35.825,,,2.70025211209359,10756922.0,10.4967115360376,,Afghanistan,0,,33.9391,67.71,
AFG,1969,,,27.334,7.389,,,,36.979,37.758,36.287,,,2.68633941065454,11017409.0,10.84809465001,,Afghanistan,0,,33.9391,67.71,
AFG,1970,,,26.838,7.4,,,,37.46,38.261,36.748,0.065,,2.67137815759831,11290128.0,11.2297657038792,,Afghanistan,0,,33.9391,67.71,
AFG,1971,,,26.383,7.432,,,,37.932,38.752,37.202,,,2.6556434129871,11567667.0,11.6660355418459,,Afghanistan,0,,33.9391,67.71,
AFG,1972,,,25.882,7.453,,,,38.423,39.255,37.681,,,2.63907560983511,11853696.0,12.1619847549558,,Afghanistan,0,,33.9391,67.71,
AFG,1973,,,25.364,7.487,,,,38.951,39.778,38.213,,,2.62259428452847,12157999.0,12.6916916731915,,Afghanistan,0,,33.9391,67.71,
AFG,1974,,,24.889,7.526,,,,39.469,40.291,38.734,,,2.60745610368136,12469127.0,13.2347712388712,,Afghanistan,0,,33.9391,67.71,
AFG,1975,,,24.403,7.542,,,,39.994,40.813,39.261,,,2.59403235677849,12773954.0,13.7708383943132,,Afghanistan,0,,33.9391,67.71,
AFG,1976,,,23.934,7.561,,,,40.518,41.333,39.787,,,2.58217341070737,13059851.0,14.2795080818354,,Afghanistan,0,,33.9391,67.71,
AFG,1977,,,23.404,7.591,,,,41.082,41.88,40.363,,,2.57173946619894,13340756.0,14.7403952437562,,Afghanistan,0,,33.9391,67.71,
AFG,1978,,,24.171,7.599,,,,40.086,41.479,38.855,,,2.5591706271217,13611441.0,15.1331148223937,,Afghanistan,0,,33.9391,67.71,
AFG,1979,,,25.538,7.612,,,,38.844,40.881,37.09,,,2.54002268818278,13655567.0,15.4376007470002,,Afghanistan,0,,33.9391,67.71,
AFG,1980,,,25.706,7.643,,,,39.258,41.379,37.428,,,2.51693871771505,13169311.0,15.6809994542625,,Afghanistan,0,,33.9391,67.71,
AFG,1981,,,26.413,7.617,,,,39.406,41.695,37.433,0.077,,2.49344486123277,11937581.0,15.9037575307894,,Afghanistan,0,,33.9391,67.71,
AFG,1982,,,28.026,7.6,,,,36.058,39.518,33.251,,,2.46081519532856,10991378.0,16.1073778271006,,Afghanistan,0,,33.9391,67.71,
AFG,1983,,,27.013,7.57,,,,36.517,40.093,33.599,,,2.42334618247218,10917982.0,16.2936657965111,,Afghanistan,0,,33.9391,67.71,
AFG,1984,,,32.008,7.554,,,,31.473,36.422,27.823,,,2.37459553414559,11190221.0,16.4644268923362,,Afghanistan,0,,33.9391,67.71,
AFG,1985,,,31.699,7.55,,,,32.132,37.101,28.393,,,2.31611470945804,11426852.0,16.6214665678908,,Afghanistan,0,,33.9391,67.71,
AFG,1986,,,25.044,7.553,,,,38.4,42.072,35.27,0.183,,2.2769774642869,11420074.0,16.7665902764903,,Afghanistan,0,,33.9391,67.71,
AFG,1987,,,24.617,7.548,,,,38.831,42.603,35.601,0.179,,2.25583591800308,11387818.0,16.9016034714497,,Afghanistan,0,,33.9391,67.71,
AFG,1988,,,20.606,7.551,,,,43.238,45.962,40.742,,,2.24411882778698,11523298.0,17.0283116060842,,Afghanistan,0,,33.9391,67.71,
AFG,1989,,,19.582,7.559,,,,44.496,47.042,42.132,0.129,,2.24285856732744,11874088.0,17.1485201337089,,Afghanistan,0,,33.9391,67.71,
AFG,1990,,,19.479,7.576,1.85278199408184,,,45.118,47.703,42.712,0.109,64.1740966333107,2.24271646385503,12045660.0,17.264034507639,,Afghanistan,0,,33.9391,67.71,
AFG,1991,,,18.783,7.631,1.85278199408184,,,45.521,48.282,42.959,,64.1881530060926,2.24205991414737,12238879.0,17.3766601811896,,Afghanistan,0,,33.9391,67.71,
AFG,1992,,,17.17,7.703,1.85278199408184,,,46.569,49.607,43.765,,64.2105258245459,2.24219138625437,13278974.0,17.4882026076758,,Afghanistan,0,,33.9391,67.71,
AFG,1993,,,14.613,7.761,1.85278199408184,,,51.021,52.296,49.755,0.143,64.2441407602245,2.24708649542413,14943172.0,17.6004672404128,,Afghanistan,0,,33.9391,67.71,
AFG,1994,,,14.929,7.767,1.85278199408184,,,50.969,53.135,48.883,,64.2919234846825,2.25424055420798,16250794.0,17.7152595327158,,Afghanistan,0,,33.9391,67.71,
AFG,1995,,,14.403,7.767,1.85278199408184,,,52.103,53.694,50.536,,64.3567996694738,2.25945281143721,17065836.0,17.8343849378999,,Afghanistan,0,,33.9391,67.71,
AFG,1996,,,13.928,7.757,1.85278199408184,,,52.83,54.426,51.26,,64.4759923667356,2.26310859725909,17763266.0,17.9596489092802,,Afghanistan,0,,33.9391,67.71,
AFG,1997,,,13.651,7.732,1.85278199408184,,,53.212,54.72,51.725,0.11,64.6415192006464,2.26487604399751,18452091.0,18.0928569001719,,Afghanistan,0,,33.9391,67.71,
AFG,1998,,,13.886,7.693,1.85278199408184,,,52.487,54.392,50.636,,64.7884977008217,2.26406368414857,19159996.0,18.2358143638901,,Afghanistan,0,,33.9391,67.71,
AFG,1999,,,12.697,7.641,1.85278199408184,,,54.532,55.966,53.102,,64.8520453968767,2.2628010676604,19887785.0,18.3903267537499,,Afghanistan,0,,33.9391,67.71,
AFG,2000,0.003,11.4830526030791,12.608,7.566,1.85278199408184,174.930991430166,,55.005,56.555,53.463,,64.767279818427,2.26197021041933,20130327.0,18.5581995230666,53.2,Afghanistan,0,,33.9391,67.71,
AFG,2001,0.003,11.4952007602954,11.954,7.453,1.85278199408184,138.706821676113,,55.511,57.089,53.941,0.202,64.5975727246894,2.26194811585133,20284307.0,18.7412381251552,53.9,Afghanistan,0,,33.9391,67.71,
AFG,2002,0.007,12.2981002329931,11.187,7.32,1.85278199408184,178.954088379235,16.70697403,56.225,57.442,54.986,,64.4168880125936,2.26397395055888,21378117.0,18.9412480133309,55.2,Afghanistan,0,,33.9391,67.71,
AFG,2003,0.016,13.1007499034299,10.714,7.174,1.85278199408184,198.871115728727,17.74602509,57.171,58.472,55.849,,64.1762314183241,2.26675269120301,22733049.0,19.1600346409089,56.2,Afghanistan,0,,33.9391,67.71,
AFG,2004,0.021,13.9102665546506,10.375,7.018,1.85278199408184,221.763653873013,21.42300415,57.81,59.073,56.519,,63.8266086780653,2.2686467503968,23560654.0,19.3993593959593,56.3,Afghanistan,0,,33.9391,67.71,
AFG,2005,0.027,14.7265543080656,9.913,6.858,1.85278199408184,254.184249149336,25.11388779,58.247,59.588,56.88,,63.3190255280017,2.26974934650551,24404567.0,19.7059095753667,56.8,Afghanistan,0,,33.9391,67.71,
AFG,2006,0.025,15.5424169809884,9.659,6.686,1.85278199408184,274.218553561575,28.9412632,58.553,60.123,56.974,0.166,61.5146494273075,2.2717800234734,25424094.0,20.1104530189181,57.0,Afghanistan,0,,33.9391,67.71,
AFG,2007,0.03,16.6502497184612,9.487,6.508,1.85278199408184,376.223152003876,32.70893097,58.956,60.804,57.122,0.182,58.0837850174423,2.27621524044213,25909852.0,20.5906579215423,57.8,Afghanistan,0,,33.9391,67.71,
AFG,2008,0.025,17.5542943270831,8.884,6.392,1.85278199408184,381.73323802844,39.88624954,59.708,61.428,57.984,0.183,54.1911438080183,2.28356920247549,26482622.0,21.1241481349633,57.5,Afghanistan,0,,33.9391,67.71,
AFG,2009,0.023,18.3897928679237,8.645,6.295,1.85278199408184,452.053705477043,43.13351822,60.248,61.791,58.681,0.22,51.0014373086482,2.29354363572652,27466101.0,21.6885475109053,59.0,Afghanistan,0,,33.9391,67.71,
AFG,2010,0.012,19.2247217350889,8.402,6.195,1.85278199408184,560.621505463146,46.42438889,60.702,62.283,59.097,0.244,49.6793770289443,2.30661490116607,28284089.0,22.2614799010924,59.0,Afghanistan,0,,33.9391,67.71,
AFG,2011,0.008,20.059192393487,8.032,6.094,1.85278199408184,606.694676337726,52.18721771,61.25,62.852,59.625,0.258,61.8170559083924,2.32214045471626,29347708.0,22.8205691572485,59.1,Afghanistan,0,,33.9391,67.71,
AFG,2012,0.004,20.8930797693099,7.822,5.985,1.85278199408184,651.417134470046,52.45247269,61.735,63.344,60.099,0.246,70.9223165078033,2.33791133871121,30560034.0,23.3434391310979,59.4,Afghanistan,0,,33.9391,67.71,
AFG,2013,0.004,21.7263800393035,7.597,5.879,1.85278199408184,637.087099117099,56.16043472,62.188,63.814,60.534,0.29,73.1318159038053,2.34976901406028,31622704.0,23.8077136743646,60.0,Afghanistan,0,,33.9391,67.71,
AFG,2014,0.004,22.5590889812061,7.511,5.77,1.85278199408184,625.054941813938,60.04951096,62.26,64.009,60.495,0.304,77.1437275538632,2.35653566515757,32792523.0,24.1910166387726,59.7,Afghanistan,0,,33.9391,67.71,
AFG,2015,0.009,23.391308180882,7.528,5.652,1.85278199408184,565.569730408751,59.91960526,62.27,64.178,60.363,0.29,73.4908176326415,2.35669506261475,33831764.0,24.4649118421568,61.5,Afghanistan,0,,33.9391,67.71,
AFG,2016,0.013,24.2229225615761,7.32,5.542,1.85278199408184,522.082215583898,61.37234497,62.646,64.64,60.661,0.284,72.7659101386992,2.35549736125691,34700612.0,24.6588345720126,61.7,Afghanistan,0,,33.9391,67.71,
AFG,2017,0.017,25.0551767431801,7.315,5.433,1.85278199408184,525.469770891619,66.82388306,62.406,65.606,59.388,0.245,65.8623470043896,2.35973702156897,35688935.0,24.8352821238871,59.8,Afghanistan,0,,33.9391,67.71,
AFG,2018,0.016,25.8882133846455,7.271,5.327,1.85278199408184,491.337221382603,71.22509003,62.443,65.942,59.175,0.303,67.2271774798558,2.36712047688815,36743039.0,24.9991645191406,62.1,Afghanistan,0,,33.9391,67.71,
AFG,2019,0.016,26.7218546246806,7.064,5.238,1.85278199408184,496.6025042585,74.0642395,62.941,66.144,59.91,0.214,58.3308722306744,2.37615338349114,37856121.0,25.1437258839803,61.2,Afghanistan,0,,33.9391,67.71,
AFG,2020,0.011,27.5559340461558,7.565,5.145,1.85278199408184,510.787063366811,80.0892334,61.454,64.656,58.455,0.253,46.0870936659706,2.37073382439812,39068979.0,25.2622103446137,59.3,Afghanistan,0,,33.9391,67.71,
AFG,2021,,28.3906801852337,8.002,5.039,1.85278199408184,356.496214115892,81.52112579,60.417,64.079,57.052,,,2.35254951873996,40000412.0,25.3478620272481,61.0,Afghanistan,0,,33.9391,67.71,
AFG,2022,,29.2258226674089,5.993,4.932,1.85278199408184,357.261152798144,80.6516037,65.617,67.236,63.941,,,2.35514236704931,40578842.0,25.3939250580909,,Afghanistan,0,,33.9391,67.71,
AFG,2023,,29.9074476538073,5.797,4.84,1.85278199408184,413.757894705303,59.06770706,66.035,67.536,64.467,0.317,,2.37753752819851,41454761.0,25.4730529631167,,Afghanistan,0,,33.9391,67.71,
