iso_code,year,infant_mortality_who,life_expectancy_who,maternal_mortality_who
AFG,2000,9.9,53.2,383.0
AFG,2001,9.8,53.9,387.0
AFG,2002,9.9,54.9,367.0
AFG,2003,10.2,56.2,353.0
AFG,2004,10.1,56.3,346.0
AFG,2005,10.4,57.0,345.0
AFG,2006,10.5,56.6,342.0
AFG,2007,10.6,57.8,339.0
AFG,2008,10.5,57.5,330.0
AFG,2009,10.9,59.0,320.0
AFG,2010,10.5,58.6,314.0
AFG,2011,10.8,59.1,304.0
AFG,2012,11.2,59.4,299.0
AFG,2013,10.7,60.0,298.0
AFG,2014,11.4,59.7,290.0
AFG,2015,10.7,61.5,322.0
AFG,2016,11.4,61.7,327.0
AFG,2017,10.8,59.8,299.0
AFG,2018,10.8,62.1,308.0
AFG,2019,10.8,61.2,294.0
AFG,2020,10.1,59.3,324.0
AFG,2021,9.9,61.0,373.0
ALB,2000,16.3,73.7,91.0
ALB,2001,15.0,79.2,54.0
ALB,2002,17.1,75.5,57.0
ALB,2003,15.3,72.4,61.0
ALB,2004,14.4,72.9,85.0
ALB,2005,15.3,74.2,113.0
ALB,2006,16.2,74.2,141.0
ALB,2007,16.5,74.5,143.0
ALB,2008,16.7,75.0,111.0
ALB,2009,15.9,78.0,81.0
ALB,2010,15.4,78.3,82.0
ALB,2011,17.8,75.1,110.0
ALB,2012,17.2,75.3,106.0
ALB,2013,16.6,77.8,103.0
ALB,2014,16.7,78.0,76.0
ALB,2015,15.7,76.0,47.0
ALB,2016,17.1,77.9,44.0
ALB,2017,17.0,76.1,95.0
ALB,2018,17.0,77.9,65.0
ALB,2019,15.7,79.9,63.0
ALB,2020,14.4,74.3,113.0
ALB,2021,14.5,74.4,86.0
ARG,2000,17.2,78.0,134.0
ARG,2001,13.8,74.3,133.0
ARG,2002,17.2,70.5,133.0
ARG,2003,15.4,74.3,92.0
ARG,2004,15.7,71.5,125.0
ARG,2005,15.8,78.7,122.0
ARG,2006,14.3,75.5,86.0
ARG,2007,15.7,71.7,124.0
ARG,2008,17.6,75.7,157.0
ARG,2009,16.3,72.5,122.0
ARG,2010,16.1,78.9,150.0
ARG,2011,14.7,75.9,85.0
ARG,2012,16.3,76.2,149.0
ARG,2013,16.3,76.2,116.0
ARG,2014,17.8,79.7,143.0
ARG,2015,16.4,73.3,141.0
ARG,2016,17.5,79.2,115.0
ARG,2017,17.7,73.6,136.0
ARG,2018,16.5,73.7,136.0
ARG,2019,16.5,79.9,131.0
ARG,2020,15.9,76.2,115.0
ARG,2021,13.5,74.6,130.0
AUS,2000,17.4,77.1,55.0
AUS,2001,16.3,82.6,92.0
AUS,2002,17.5,77.8,71.0
AUS,2003,16.6,80.6,50.0
AUS,2004,18.8,78.4,85.0
AUS,2005,17.8,80.8,48.0
AUS,2006,17.9,81.0,48.0
AUS,2007,18.1,79.2,65.0
AUS,2008,17.1,83.5,46.0
AUS,2009,19.3,79.6,47.0
AUS,2010,18.4,81.9,79.0
AUS,2011,17.4,79.9,46.0
AUS,2012,17.7,82.3,44.0
AUS,2013,18.7,80.5,60.0
AUS,2014,19.4,82.4,45.0
AUS,2015,18.6,84.2,45.0
AUS,2016,19.5,82.6,60.0
AUS,2017,18.8,84.5,75.0
AUS,2018,19.7,81.2,58.0
AUS,2019,18.1,82.6,78.0
AUS,2020,19.2,81.5,41.0
AUS,2021,18.4,84.9,58.0
AUT,2000,16.6,81.0,63.0
AUT,2001,15.4,81.4,123.0
AUT,2002,17.9,75.7,59.0
AUT,2003,17.8,75.8,115.0
AUT,2004,18.0,76.3,55.0
AUT,2005,17.0,81.9,83.0
AUT,2006,18.3,79.8,105.0
AUT,2007,18.5,82.6,78.0
AUT,2008,18.6,80.3,99.0
AUT,2009,17.5,77.4,50.0
AUT,2010,18.8,83.0,74.0
AUT,2011,19.0,83.3,72.0
AUT,2012,16.6,83.1,47.0
AUT,2013,17.8,83.3,67.0
AUT,2014,19.0,78.9,46.0
AUT,2015,17.8,81.0,84.0
AUT,2016,18.0,79.1,62.0
AUT,2017,17.0,81.4,79.0
AUT,2018,19.0,81.4,62.0
AUT,2019,19.1,81.6,58.0
AUT,2020,16.7,81.1,41.0
AUT,2021,17.7,83.3,61.0
BEL,2000,16.4,77.7,130.0
BEL,2001,16.6,78.0,68.0
BEL,2002,17.7,75.0,67.0
BEL,2003,16.5,80.9,94.0
BEL,2004,18.0,81.5,116.0
BEL,2005,16.9,76.1,89.0
BEL,2006,15.9,81.9,61.0
BEL,2007,16.1,79.6,107.0
BEL,2008,18.3,76.9,111.0
BEL,2009,16.3,79.8,84.0
BEL,2010,16.2,82.4,103.0
BEL,2011,16.4,82.6,80.0
BEL,2012,16.3,80.1,78.0
BEL,2013,17.5,77.9,57.0
BEL,2014,17.9,80.9,91.0
BEL,2015,18.5,78.5,89.0
BEL,2016,16.9,81.1,69.0
BEL,2017,18.0,81.2,49.0
BEL,2018,17.1,79.1,49.0
BEL,2019,17.3,83.7,63.0
BEL,2020,16.6,82.9,59.0
BEL,2021,18.8,83.7,76.0
BGD,2000,13.1,63.7,175.0
BGD,2001,13.7,64.3,170.0
BGD,2002,12.8,66.4,138.0
BGD,2003,13.6,66.8,136.0
BGD,2004,13.0,65.7,133.0
BGD,2005,13.1,69.9,159.0
BGD,2006,13.1,68.1,184.0
BGD,2007,13.1,68.4,129.0
BGD,2008,13.8,69.0,178.0
BGD,2009,14.0,69.6,124.0
BGD,2010,14.1,71.9,169.0
BGD,2011,14.7,71.1,163.0
BGD,2012,15.2,72.1,137.0
BGD,2013,15.3,71.5,154.0
BGD,2014,15.3,74.0,128.0
BGD,2015,15.4,72.1,145.0
BGD,2016,15.4,73.4,123.0
BGD,2017,15.3,72.1,140.0
BGD,2018,15.3,75.0,101.0
BGD,2019,15.5,75.3,135.0
BGD,2020,14.8,73.3,100.0
BGD,2021,14.6,73.1,130.0
BGR,2000,12.2,71.6,97.0
BGR,2001,13.6,68.5,221.0
BGR,2002,12.3,68.8,94.0
BGR,2003,12.3,68.9,91.0
BGR,2004,12.4,76.1,155.0
BGR,2005,12.3,76.1,157.0
BGR,2006,12.4,76.2,157.0
BGR,2007,12.5,69.4,153.0
BGR,2008,14.3,76.9,209.0
BGR,2009,14.4,70.0,146.0
BGR,2010,15.9,77.2,198.0
BGR,2011,13.0,70.6,85.0
BGR,2012,16.0,70.8,188.0
BGR,2013,15.0,78.4,135.0
BGR,2014,13.1,74.4,140.0
BGR,2015,16.3,78.0,87.0
BGR,2016,13.2,78.4,86.0
BGR,2017,14.9,74.7,137.0
BGR,2018,14.9,71.4,184.0
BGR,2019,16.6,71.5,182.0
BGR,2020,14.0,73.5,95.0
BGR,2021,12.8,71.3,178.0
BIH,2000,13.7,72.7,112.0
BIH,2001,15.1,73.0,74.0
BIH,2002,13.8,78.8,145.0
BIH,2003,16.4,79.2,142.0
BIH,2004,16.3,76.6,70.0
BIH,2005,13.8,76.5,143.0
BIH,2006,15.5,73.7,103.0
BIH,2007,13.6,79.3,72.0
BIH,2008,14.0,73.7,67.0
BIH,2009,15.4,76.8,136.0
BIH,2010,14.3,74.3,98.0
BIH,2011,16.5,77.1,97.0
BIH,2012,16.5,79.7,64.0
BIH,2013,16.5,79.7,129.0
BIH,2014,14.4,74.7,95.0
BIH,2015,14.3,74.5,65.0
BIH,2016,14.3,77.1,64.0
BIH,2017,15.5,74.9,121.0
BIH,2018,14.4,74.9,60.0
BIH,2019,15.4,77.1,124.0
BIH,2020,15.5,73.0,98.0
