iso_code,country_name,year,le_medium,le_high,le_low,is_blue_zone,projection_source
AFG,Afghanistan,2024,66.13,66.68,65.58,0,trend_extrapolation_from_real_data
AFG,Afghanistan,2025,66.23,66.83,65.63,0,trend_extrapolation_from_real_data
AFG,Afghanistan,2026,66.33,66.98,65.68,0,trend_extrapolation_from_real_data
AFG,Afghanistan,2027,66.43,67.13,65.73,0,trend_extrapolation_from_real_data
AFG,Afghanistan,2028,66.53,67.28,65.78,0,trend_extrapolation_from_real_data
AFG,Afghanistan,2029,66.63,67.43,65.83,0,trend_extrapolation_from_real_data
AFG,Afghanistan,2030,66.73,67.58,65.88,0,trend_extrapolation_from_real_data
AFG,Afghanistan,2031,66.83,67.73,65.93,0,trend_extrapolation_from_real_data
AFG,Afghanistan,2032,66.93,67.88,65.98,0,trend_extrapolation_from_real_data
AFG,Afghanistan,2033,67.03,68.03,66.03,0,trend_extrapolation_from_real_data
AFG,Afghanistan,2034,67.13,68.18,66.08,0,trend_extrapolation_from_real_data
AFG,Afghanistan,2035,67.23,68.33,66.13,0,trend_extrapolation_from_real_data
AFG,Afghanistan,2036,67.33,68.48,66.18,0,trend_extrapolation_from_real_data
AFG,Afghanistan,2037,67.43,68.63,66.23,0,trend_extrapolation_from_real_data
AFG,Afghanistan,2038,67.53,68.78,66.28,0,trend_extrapolation_from_real_data
AFG,Afghanistan,2039,67.63,68.93,66.33,0,trend_extrapolation_from_real_data
AFG,Afghanistan,2040,67.73,69.08,66.38,0,trend_extrapolation_from_real_data
AFG,Afghanistan,2041,67.83,69.23,66.43,0,trend_extrapolation_from_real_data
AFG,Afghanistan,2042,67.92,69.37,66.47,0,trend_extrapolation_from_real_data
AFG,Afghanistan,2043,68.02,69.52,66.52,0,trend_extrapolation_from_real_data
AFG,Afghanistan,2044,68.12,69.67,66.57,0,trend_extrapolation_from_real_data
AFG,Afghanistan,2045,68.22,69.82,66.62,0,trend_extrapolation_from_real_data
AFG,Afghanistan,2046,68.32,69.97,66.67,0,trend_extrapolation_from_real_data
AFG,Afghanistan,2047,68.42,70.12,66.72,0,trend_extrapolation_from_real_data
AFG,Afghanistan,2048,68.52,70.27,66.77,0,trend_extrapolation_from_real_data
AFG,Afghanistan,2049,68.62,70.42,66.82,0,trend_extrapolation_from_real_data
AFG,Afghanistan,2050,68.72,70.57,66.87,0,trend_extrapolation_from_real_data
AFG,Afghanistan,2051,68.82,70.72,66.92,0,trend_extrapolation_from_real_data
AFG,Afghanistan,2052,68.92,70.87,66.97,0,trend_extrapolation_from_real_data
AFG,Afghanistan,2053,69.02,71.02,67.02,0,trend_extrapolation_from_real_data
AFG,Afghanistan,2054,69.12,71.17,67.07,0,trend_extrapolation_from_real_data
AFG,Afghanistan,2055,69.22,71.32,67.12,0,trend_extrapolation_from_real_data
AFG,Afghanistan,2056,69.32,71.47,67.17,0,trend_extrapolation_from_real_data
AFG,Afghanistan,2057,69.42,71.62,67.22,0,trend_extrapolation_from_real_data
AFG,Afghanistan,2058,69.52,71.77,67.27,0,trend_extrapolation_from_real_data
AFG,Afghanistan,2059,69.62,71.92,67.32,0,trend_extrapolation_from_real_data
AFG,Afghanistan,2060,69.72,72.07,67.37,0,trend_extrapolation_from_real_data
AFG,Afghanistan,2061,69.81,72.21,67.41,0,trend_extrapolation_from_real_data
AFG,Afghanistan,2062,69.91,72.36,67.46,0,trend_extrapolation_from_real_data
AFG,Afghanistan,2063,70.01,72.51,67.51,0,trend_extrapolation_from_real_data
