iso_code,income_group
AFG,Low income
ALB,Upper-middle income
ARG,Upper-middle income
AUS,High income
AUT,High income
BEL,High income
BGD,Lower-middle income
BGR,Upper-middle income
BIH,Upper-middle income
BOL,Lower-middle income
BRA,Upper-middle income
BWA,Upper-middle income
CAN,High income
CHE,High income
CHL,High income
CHN,Upper-middle income
COL,Upper-middle income
CRI,Upper-middle income
CZE,High income
DEU,High income
DNK,High income
DZA,Lower-middle income
ECU,Upper-middle income
EGY,Lower-middle income
ESP,High income
EST,High income
ETH,Low income
FIN,High income
FJI,Upper-middle income
FRA,High income
GBR,High income
GHA,Lower-middle income
GRC,High income
HRV,High income
HUN,High income
IDN,Lower-middle income
IND,Lower-middle income
IRL,High income
IRN,Lower-middle income
IRQ,Upper-middle income
ISL,High income
ISR,High income
ITA,High income
JOR,Lower-middle income
JPN,High income
KEN,Lower-middle income
KOR,High income
LBN,Upper-middle income
LBY,Upper-middle income
LTU,High income
LUX,High income
LVA,High income
MAR,Lower-middle income
MDG,Low income
MEX,Upper-middle income
MKD,Upper-middle income
MMR,Lower-middle income
MNE,Upper-middle income
MOZ,Low income
MYS,Upper-middle income
NAM,Upper-middle income
NGA,Lower-middle income
NLD,High income
NOR,High income
NZL,High income
PAK,Lower-middle income
PER,Upper-middle income
PHL,Lower-middle income
PNG,Lower-middle income
POL,High income
PRT,High income
PRY,Upper-middle income
ROU,Upper-middle income
RUS,Upper-middle income
SAU,High income
SGP,High income
SRB,Upper-middle income
SVK,High income
SVN,High income
SWE,High income
SYR,Low income
THA,Upper-middle income
TUN,Lower-middle income
TUR,Upper-middle income
TZA,Low income
UGA,Low income
URY,High income
USA,High income
VEN,Lower-middle income
VNM,Lower-middle income
ZAF,Upper-middle income
ZMB,Lower-middle income
ZWE,Lower-middle income
