iso_code,le_2019,le_2020,le_2021,le_2023,drop_2020,drop_2021,recovery_2023,is_blue_zone,fully_recovered
AFG,62.941,61.454,60.417,66.035,-1.4870000000000019,-2.524000000000001,3.093999999999994,0,True
ALB,79.467,77.824,76.844,79.602,-1.6430000000000007,-2.6230000000000047,0.13500000000000512,0,True
ARG,76.847,75.878,73.948,77.395,-0.9689999999999941,-2.899000000000001,0.5480000000000018,0,True
AUS,82.9,83.2,83.3,83.0512195121951,0.29999999999999716,0.3999999999999915,0.1512195121950981,0,True
AUT,81.8951219512195,81.1926829268293,81.190243902439,81.5414634146342,-0.7024390243901877,-0.7048780487805004,-0.3536585365853,0,False
BEL,81.9951219512195,80.6951219512195,81.790243902439,82.3975609756098,-1.2999999999999972,-0.20487804878050042,0.4024390243903042,0,True
BGD,72.625,71.421,71.103,74.672,-1.2039999999999935,-1.5220000000000056,2.046999999999997,0,True
BGR,75.1121951219512,73.3560975609756,71.2121951219512,75.7073170731707,-1.7560975609756042,-3.9000000000000057,0.5951219512194967,0,True
BIH,77.394,76.04,74.567,77.85,-1.3539999999999992,-2.8270000000000124,0.45599999999998886,0,True
BOL,67.82,62.906,61.427,68.581,-4.913999999999994,-6.392999999999994,0.7610000000000099,0,True
BRA,75.809,74.506,73.038,75.848,-1.3029999999999973,-2.771000000000001,0.03900000000000148,0,True
BWA,67.167,67.643,63.303,69.163,0.4759999999999991,-3.8640000000000043,1.9959999999999951,0,True
CAN,82.1636585365854,81.5351219512195,81.5168292682927,81.6465853658537,-0.6285365853659073,-0.6468292682927057,-0.517073170731706,0,False
CHE,83.9048780487805,83.0,83.7512195121951,84.0560975609756,-0.9048780487805033,-0.15365853658539663,0.1512195121950981,0,True
CHL,80.324,79.349,78.876,81.167,-0.9749999999999943,-1.4479999999999933,0.8430000000000035,0,True
CHN,77.94,78.019,78.117,77.953,0.07900000000000773,0.1770000000000067,0.01300000000000523,0,True
COL,76.793,74.757,72.698,77.725,-2.0360000000000014,-4.095000000000013,0.931999999999988,0,True
CRI,80.296,79.725,78.05,80.799,-0.5710000000000122,-2.2460000000000093,0.5030000000000001,1,True
CZE,79.2292682926829,78.2268292682927,77.2219512195122,79.8780487804878,-1.002439024390199,-2.0073170731706966,0.648780487804899,0,True
DEU,81.2926829268293,81.0414634146342,80.790243902439,80.5414634146342,-0.25121951219510663,-0.5024390243902985,-0.7512195121951066,0,False
DNK,81.4512195121951,81.6024390243903,81.4048780487805,81.8536585365854,0.1512195121952118,-0.046341463414592,0.4024390243903042,0,True
DZA,75.682,73.257,75.208,76.261,-2.424999999999997,-0.47400000000000375,0.5789999999999935,0,True
ECU,77.286,72.004,72.746,77.392,-5.2819999999999965,-4.540000000000006,0.10599999999999454,0,True
EGY,71.213,69.79,68.976,71.633,-1.4229999999999876,-2.2369999999999948,0.4200000000000017,0,True
ESP,83.8317073170732,82.2317073170732,83.1780487804878,83.8829268292683,-1.5999999999999943,-0.6536585365853966,0.05121951219510379,0,True
EST,78.6463414634147,78.5951219512195,76.9439024390244,78.490243902439,-0.051219512195203265,-1.7024390243903014,-0.15609756097569516,0,False
ETH,65.741,65.969,65.33,67.315,0.22799999999999443,-0.41100000000000136,1.573999999999998,0,True
FIN,81.9829268292683,81.9317073170732,81.8853658536585,81.6853658536585,-0.05121951219508958,-0.09756097560979526,-0.2975609756097981,0,False
FJI,67.009,66.924,64.904,67.316,-0.08499999999999375,-2.105000000000004,0.30700000000000216,0,True
FRA,82.8268292682927,82.1756097560976,82.3243902439024,82.9292682926829,-0.6512195121950981,-0.5024390243902985,0.10243902439020758,0,True
GBR,81.3691219512195,80.331756097561,80.6473170731707,81.2380975609756,-1.0373658536584998,-0.7218048780488004,-0.13102439024389412,0,False
GHA,64.455,64.309,64.286,65.498,-0.1460000000000008,-0.16899999999999693,1.0430000000000064,0,True
GRC,81.6390243902439,81.2878048780488,80.0829268292683,81.5365853658537,-0.35121951219510095,-1.5560975609756014,-0.10243902439020758,1,False
HRV,78.2243902439024,77.5243902439024,76.4243902439025,78.4731707317073,-0.7000000000000028,-1.799999999999912,0.24878048780489337,0,True
HUN,76.3195121951219,75.419512195122,74.0658536585366,76.7707317073171,-0.8999999999999062,-2.2536585365853057,0.45121951219519474,0,True
IDN,70.349,68.817,67.452,71.146,-1.5320000000000107,-2.8970000000000056,0.796999999999997,0,True
IND,70.746,70.156,67.282,72.003,-0.5899999999999892,-3.4639999999999986,1.257000000000005,0,True
IRL,82.7024390243903,82.4560975609756,82.2536585365854,82.8609756097561,-0.24634146341469432,-0.4487804878048962,0.15853658536579474,0,True
IRN,76.855,74.141,73.752,77.654,-2.7139999999999986,-3.1030000000000086,0.7989999999999924,0,True
IRQ,71.245,69.651,70.704,72.324,-1.5940000000000083,-0.541000000000011,1.0789999999999935,0,True
ISL,83.1634146341463,83.0634146341463,83.1658536585366,82.6073170731707,-0.10000000000000853,0.0024390243902985276,-0.5560975609756014,0,False
ISR,82.8048780487805,82.6487804878049,82.5,83.1951219512195,-0.15609756097559568,-0.30487804878049474,0.3902439024390105,0,True
ITA,83.4975609756098,82.1951219512195,82.6463414634146,83.7,-1.3024390243902957,-0.8512195121952004,0.2024390243902019,1,True
JOR,76.865,75.583,74.204,77.814,-1.2819999999999965,-2.6610000000000014,0.9489999999999981,0,True
JPN,84.3563414634146,84.56,84.4456097560976,84.0412195121951,0.203658536585408,0.08926829268300196,-0.3151219512194956,1,False
KEN,62.939,61.596,61.225,63.646,-1.3430000000000035,-1.7139999999999986,0.7070000000000007,0,True
KOR,83.2268292682927,83.4268292682927,83.5268292682927,83.4292682926829,0.20000000000000284,0.29999999999999716,0.2024390243902019,0,True
LBN,78.208,76.299,73.65,77.817,-1.9089999999999918,-4.557999999999993,-0.39100000000000534,0,False
LBY,72.941,72.388,72.062,69.339,-0.5529999999999973,-0.8790000000000049,-3.602000000000004,0,False
LTU,76.2829268292683,75.0292682926829,74.0365853658537,76.9878048780488,-1.2536585365854052,-2.246341463414609,0.7048780487805004,0,True
LUX,82.6390243902439,82.1439024390244,82.5975609756098,83.3585365853659,-0.4951219512195024,-0.04146341463410863,0.7195121951219932,0,True
LVA,75.3878048780488,75.1853658536585,72.9804878048781,75.6780487804878,-0.20243902439030137,-2.4073170731707023,0.290243902439002,0,True
MAR,74.245,73.133,73.385,75.313,-1.112000000000009,-0.8599999999999994,1.0679999999999978,0,True
MDG,63.504,62.706,62.516,63.632,-0.7979999999999947,-0.9879999999999995,0.1280000000000001,0,True
MEX,74.53,70.449,69.75,75.069,-4.081000000000003,-4.780000000000001,0.5390000000000015,0,True
MKD,76.6024390243903,74.3951219512195,73.2463414634146,75.3160975609756,-2.207317073170813,-3.356097560975712,-1.2863414634147006,0,False
MMR,66.457,66.612,65.553,66.889,0.15500000000000114,-0.9039999999999964,0.43200000000000216,0,True
MNE,76.6829268292683,75.9317073170732,73.8243902439024,77.5878048780488,-0.7512195121950924,-2.858536585365897,0.9048780487805033,0,True
MOZ,61.306,61.39,60.268,63.611,0.08400000000000318,-1.0379999999999967,2.3049999999999997,0,True
MYS,75.9,76.057,73.917,76.657,0.15699999999999648,-1.983000000000004,0.7569999999999908,0,True
NAM,63.546,64.071,60.85,67.385,0.5249999999999986,-2.695999999999998,3.8390000000000057,0,True
NGA,53.009,53.072,53.455,54.462,0.06300000000000239,0.44599999999999795,1.453000000000003,0,True
NLD,82.1121951219512,81.3585365853659,81.309756097561,81.9146341463415,-0.7536585365853057,-0.8024390243901962,-0.19756097560970431,0,False
NOR,82.9585365853659,83.209756097561,83.1634146341463,83.1121951219512,0.2512195121950924,0.20487804878040095,0.15365853658529716,0,True
NZL,82.0560975609756,82.2560975609756,82.2073170731707,83.0048780487805,0.20000000000000284,0.1512195121950981,0.9487804878048962,0,True
PAK,66.729,65.701,65.773,67.649,-1.0280000000000058,-0.9560000000000031,0.9200000000000017,0,True
PER,76.275,73.832,71.596,77.74,-2.443000000000012,-4.679000000000002,1.4649999999999892,0,True
PHL,69.68,70.097,66.675,69.833,0.4169999999999874,-3.0050000000000097,0.1529999999999916,0,True
PNG,65.331,65.075,64.358,66.134,-0.2560000000000002,-0.972999999999999,0.8029999999999973,0,True
POL,77.9048780487805,76.4,75.3512195121951,78.5073170731707,-1.5048780487804976,-2.5536585365854023,0.6024390243901934,0,True
PRT,81.6756097560976,81.3292682926829,81.3780487804878,82.2804878048781,-0.34634146341470284,-0.2975609756097981,0.6048780487805061,0,True
PRY,73.668,72.72,68.108,73.844,-0.9480000000000075,-5.560000000000002,0.17599999999998772,0,True
