year,bz_mean,global_mean,gap,ci_lower,ci_upper,p_value,significant_at_05
1960,68.09751219512196,57.471022427810496,10.626489767311469,7.337929760302788,13.570372681525107,0.024,True
1961,68.50519024390245,58.15683508869181,10.34835515521064,7.188414190687376,13.366094006374741,0.009,True
1962,68.47215121951221,58.511792128603105,9.960359090909108,6.72553636225057,12.769723373059886,0.014,True
1963,68.75350731707317,58.84057246986264,9.91293484721053,7.033135985421913,12.645896467619826,0.009,True
1964,69.12706341463416,59.33514213624894,9.791921278385225,6.7270630445752735,12.547749397252616,0.015,True
1965,69.36097073170734,59.57286851696101,9.788102214746331,6.895808312307307,12.707142825904132,0.006,True
1966,69.79013170731709,60.12043375831486,9.669697949002227,6.541500149667403,12.61302232538802,0.015,True
1967,69.96853170731708,60.554245288248346,9.414286419068738,6.30818117793791,12.110546274944557,0.013,True
1968,69.90518536585367,60.78892738359202,9.11625798226165,6.267365304878018,11.661907129988911,0.016,True
1969,70.30383902439026,60.995416019955655,9.308423004434601,6.4828169013303745,11.964739887749456,0.004,True
1970,70.7507268292683,61.202623614190685,9.548103215077617,6.685232143846998,12.182417444567642,0.008,True
1971,71.20066829268292,61.39414024390244,9.806528048780478,6.963361536862519,12.474501273558728,0.0,True
1972,71.41107317073171,62.02257150776054,9.388501662971173,6.689459363913532,11.787316653270514,0.002,True
1973,71.66289756097561,62.3834977827051,9.279399778270509,6.862767766075392,11.556694976441229,0.003,True
1974,72.24060975609756,62.715086751662966,9.52552300443459,7.030328812361394,11.82152337583149,0.002,True
1975,72.63068780487806,63.04369733924613,9.586990465631935,7.529401337305989,11.724624606430167,0.001,True
1976,73.03195121951221,63.22505266075388,9.806898558758327,7.545982821507744,11.927596990022181,0.0,True
1977,73.41518536585366,63.87488858093126,9.540296784922397,7.379393986973392,11.5699486862528,0.001,True
1978,73.80521463414634,64.10363331485588,9.701581319290455,7.604191273558747,11.823198894124161,0.001,True
1979,74.20923414634149,64.3994977827051,9.80973636363639,7.610237713414644,11.950359653547688,0.001,True
1980,74.21650243902441,64.61420953436807,9.602292904656338,7.763548083425721,11.831713231707324,0.001,True
1981,74.62304390243904,64.85379711751663,9.769246784922402,7.818459659090917,11.872890338137488,0.0,True
1982,75.02339024390247,64.94642710643016,10.076963137472305,8.080519124168529,12.156234562084284,0.0,True
1983,75.15020487804877,65.32633342572063,9.823871452328135,7.801119864190676,12.034167461197335,0.0,True
1984,75.51655121951221,65.55489828159646,9.961652937915744,7.887932419623087,12.262616942904675,0.0,True
1985,75.69093658536588,65.81033148558758,9.880605099778293,7.741696938747223,11.956719484478961,0.0,True
1986,75.96661463414637,66.28205709534369,9.684557538802679,7.546524347283842,11.844455845343678,0.0,True
1987,76.13894634146345,66.63768874722838,9.50125759423507,7.5148549708980115,11.683927536031074,0.0,True
1988,76.39610731707319,66.86157150776054,9.534535809312644,7.5583819124168645,11.523235275776049,0.0,True
1989,76.62858536585368,67.16071092017738,9.467874445676301,7.384608418791577,11.579091511917996,0.0,True
1990,76.81109268292684,67.26965825942351,9.541434423503333,7.533275503048796,11.541785501662984,0.0,True
1991,76.95915609756098,67.53136973392462,9.427786363636358,7.510235297949018,11.495313070953454,0.0,True
1992,77.1769512195122,67.5120185698448,9.664932649667406,7.7202684381929,11.72757592849223,0.0,True
1993,77.23007317073173,67.64707344789358,9.582999722838153,7.442252113359204,11.65039172671841,0.0,True
1994,77.44126341463416,67.9687649667406,9.472498447893571,7.24790717849224,11.641306277716186,0.0,True
1995,77.47082926829269,68.16842793791574,9.302401330376952,7.186299106152982,11.463004794900232,0.0,True
1996,77.77638048780487,68.49964523281596,9.276735254988907,7.186700913248339,11.498665045731718,0.0,True
1997,78.08347804878049,68.72688664079823,9.356591407982265,7.210423849778284,11.590219699279402,0.0,True
1998,78.15311707317076,68.91822228381376,9.234894789357,7.238528853935732,11.45414125277162,0.001,True
1999,78.30281951219513,69.12443902439024,9.178380487804887,7.0176965451773885,11.413771514689564,0.0,True
2000,78.53910731707317,69.44379046563193,9.09531685144124,6.884896416297123,11.212895400498896,0.001,True
2001,78.87531219512195,69.73891879157428,9.136393403547672,6.7706678616962535,11.563515253603065,0.0,True
2002,79.08740975609756,70.0137477827051,9.073661973392461,6.881610875831475,11.420282423780478,0.0,True
2003,79.16699512195122,70.2539312638581,8.91306385809311,6.643339146341477,11.053190562638564,0.0,True
2004,79.56991219512196,70.64724889135256,8.922663303769397,6.719577346175173,11.292385554323747,0.0,True
2005,79.6683756097561,70.94385282705099,8.724522782705108,6.607739409645234,10.87871008592016,0.0,True
2006,79.95614146341464,71.24937195121952,8.706769512195123,6.566933428492241,10.933422239467872,0.001,True
2007,80.09320975609756,71.56712721729491,8.526082538802655,6.372385942350332,10.798960759423498,0.002,True
2008,80.24619512195122,71.88268015521065,8.363514966740567,6.211677175720596,10.529835885532172,0.001,True
2009,80.50361951219514,72.30798281596452,8.195636696230622,5.993247084257202,10.294089743625294,0.0,True
2010,80.63250731707319,72.65092045454546,7.981586862527735,5.9676989079822755,10.04527469789358,0.001,True
2011,80.75523902439025,73.00456624168515,7.750672782705095,5.702257991962286,9.838151825110847,0.001,True
2012,80.92714634146343,73.20467960088693,7.722466740576493,5.66742211751666,9.808807531873615,0.001,True
2013,81.24760487804878,73.4994090909091,7.748195787139679,5.554161503603099,9.897265960365848,0.001,True
2014,81.42717560975608,73.80211917960088,7.6250564301551975,5.396167391906859,9.673201352549858,0.001,True
2015,81.29432682926829,73.93490659645232,7.359420232815964,5.327037548503321,9.583595447616409,0.003,True
2016,81.42872195121952,74.18818320399113,7.240538747228385,4.938101990022165,9.637219818458984,0.004,True
2017,81.3733853658537,74.42927328159645,6.944112084257242,4.578191227827047,9.163850873059902,0.006,True
2018,81.61482926829268,74.69899473392461,6.915834534368074,4.778300381097555,9.212353485310425,0.002,True
2019,81.71534634146342,74.97063386917961,6.744712472283808,4.473275370011095,9.035773073725068,0.003,True
2020,80.94968292682927,74.17741768292684,6.7722652439024245,4.264354898835943,9.242579011917966,0.002,True
2021,80.31082926829268,73.32242100886918,6.988408259423494,3.8096380335365714,9.963215340909079,0.009,True
2022,80.84685853658536,74.89833314855876,5.948525388026596,3.368468815133014,8.244756358093092,0.0,True
2023,81.69243414634145,75.50354129711751,6.188892849223947,3.918141255543236,8.391171712860297,0.006,True
