feature,lasso_coef,rf_importance,univariate_r,combined_rank
fertility_rate,-3.502233006460702,0.3729785443762425,-0.8206372374267156,1.0
abs_latitude,0.8376761438303404,0.12970153013821942,0.5964564209103861,2.0
tertiary_enrollment,0.7316958760303683,0.10543720294375523,0.6132898863508855,3.0
pm25_air_pollution,-0.63230898617815,0.06938408835014126,-0.5555165619084653,4.0
population_density,0.34608069384103946,0.01355822683204846,0.12250159955923909,5.0
suicide_rate,-0.0,0.0222794465525659,0.3114167160238435,6.0
mean_elevation,0.0,0.00847241851047208,-0.22545833459740294,7.0
forest_area_pct,-0.07765989721180785,0.0077863308415982175,0.08810335045091781,8.0
population_total,-0.0,0.007880202619100492,-0.10039463688444461,9.0
land_area_km2,-0.0,0.006728894540580717,0.04555926179922331,10.0
