decade,group,avg_le_start,avg_le_end,avg_gain,median_gain,n_countries
1960-1970,blue_zone,68.09751219512196,69.90518536585367,1.8076731707316995,1.6560975609755957,5
1960-1970,non_blue_zone,57.63619927937916,60.78892738359202,3.1527281042128577,2.5775121951219475,88
1960-1970,global,58.198635457644905,61.27904878048781,3.0804133228429023,2.4769999999999968,93
1970-1980,blue_zone,70.7507268292683,73.80521463414634,3.054487804878039,2.5487804878049047,5
1970-1980,non_blue_zone,61.202623614190685,64.10363331485588,2.9010097006651905,2.640804878048751,88
1970-1980,global,61.715962496721744,64.62522370836612,2.9092612116443757,2.6259999999999977,93
1980-1990,blue_zone,74.21650243902441,76.39610731707319,2.1796048780487807,2.4275609756098078,5
1980-1990,non_blue_zone,64.61420953436807,66.86157150776054,2.2473619733924592,2.128012195121947,88
1980-1990,global,65.13046184107003,67.37418095987412,2.2437191188040893,2.1610000000000014,93
1990-2000,blue_zone,76.81109268292684,78.15311707317076,1.342024390243924,1.365853658536608,5
1990-2000,non_blue_zone,67.26965825942351,68.91822228381376,1.648564024390248,1.785475609756098,88
1990-2000,global,67.78263860477315,69.41472200367167,1.63208339889851,1.7463414634145948,93
2000-2010,blue_zone,78.53910731707317,80.24619512195122,1.707087804878043,1.7073170731706995,5
2000-2010,non_blue_zone,69.44379046563193,71.88268015521065,2.4388896895787133,2.209756097560998,88
2000-2010,global,69.93278599527932,72.33233149750853,2.399545502229215,2.158536585365894,93
2010-2020,blue_zone,80.63250731707319,81.61482926829268,0.9823219512194867,1.309756097560907,5
2010-2020,non_blue_zone,72.65092045454546,74.69899473392461,2.048074279379161,1.7284999999999968,88
2010-2020,global,73.08003802779963,75.07081379491214,1.9907757671125115,1.695999999999998,93
