year,le_std,n_countries,le_mean,coefficient_of_variation
1960,11.414546581308285,92,58.04854904559915,0.1966379309901745
1961,11.163429561055082,93,58.71319826907947,0.19013492519848224
1962,10.762534660088416,93,59.0472953055337,0.18226973148217662
1963,10.536326081085045,92,59.37931892895016,0.17744100591137127
1964,10.506362532133199,92,59.86731177094379,0.1754941423181188
1965,10.472561922268664,92,60.10483059384942,0.17423827367613162
1966,10.328246419141228,93,60.64030999213218,0.17031981565531695
1967,10.125091753520046,93,61.060389719381064,0.16582094873702155
1968,9.908131903828075,93,61.279048780487805,0.16168873539993617
1969,9.664740231978405,93,61.49586886965645,0.157160804613775
1970,9.776264860746542,93,61.715962496721744,0.15840739518995336
1971,10.161295171490053,93,61.92137293469709,0.1640999656484726
1972,9.483590691661062,93,62.527329661683716,0.15167112913623332
1973,9.357121743784992,93,62.88239024390244,0.1488035316006826
1974,9.333501024661938,93,63.22721164437451,0.14761841906233047
1975,9.183337256819973,93,63.559126934172575,0.14448494968049272
1976,9.45707043701489,93,63.752305271439816,0.14834083876260284
1977,8.95964612178842,93,64.38780776291634,0.13915128396324528
1978,8.936249652452856,93,64.62522370836612,0.13827804593419157
1979,8.884418659859552,93,64.92690296354577,0.1368372470322179
1980,8.82389416262415,93,65.13046184107003,0.1354802946761844
1981,8.894485382226204,93,65.37902543928665,0.13604493677388857
1982,9.193893017147712,93,65.48819931812221,0.14039007199581885
1983,9.141221356942712,93,65.85449855756622,0.13880936848910908
1984,9.41000026670141,93,66.09047102019409,0.14238059014326232
1985,9.285329193036016,93,66.34154681353266,0.13996250674007427
1986,9.037060515287964,93,66.80273223183845,0.13527980388474087
1987,8.77147405951226,93,67.14850904799371,0.13062797944244656
1988,8.605705336234575,93,67.37418095987412,0.12773001784407373
1989,8.593537297641094,93,67.66973642800944,0.1269923270173121
1990,8.638955997980494,93,67.78263860477315,0.127450866118572
1991,8.66333314050047,93,68.03823996852873,0.127330353408726
1992,8.785956414558603,93,68.03163860477315,0.12914515356009923
1993,8.742097770284937,93,68.16228848675584,0.12825417051517507
1994,8.701937391195978,93,68.47803907684238,0.12707632269421634
1995,8.703171168943985,93,68.66855704169946,0.1267417220323841
1996,8.810837141232987,93,68.99839444007344,0.12769626326429068
1997,8.850000270627692,93,69.22992918961447,0.1278348883817048
1998,8.924473690755473,93,69.41472200367166,0.12856744841942055
1999,8.901460521445319,93,69.61790034093889,0.12786166313336522
2000,8.898197994435408,93,69.93278599527932,0.12723928938046405
2001,8.954125781480373,93,70.23012273800158,0.12749694052058502
2002,8.848652549661045,93,70.50157907159718,0.12550999092764836
2003,8.785747922345585,93,70.73312824547601,0.12420980296326013
2004,8.757954391913763,93,71.12696197220036,0.12313128733569091
2005,8.644684895656182,93,71.41291319171256,0.12105212501902798
2006,8.534925778058266,93,71.71747783897194,0.11900761202480978
2007,8.366650952988472,93,72.02551875163914,0.11616231438524788
2008,8.305892534624673,93,72.33233149750853,0.11482959781146786
2009,8.033815599068454,93,72.74860844479413,0.11043256731384739
2010,7.844151833878853,93,73.08003802779963,0.10733644980993222
2011,7.729776628312402,93,73.42126907946499,0.10527980141485084
2012,7.585165182159436,93,73.61986598478887,0.10303149945595746
2013,7.478682053547496,93,73.91597875688434,0.10117815091301827
2014,7.407738771111965,93,74.21206845003934,0.09981851908761934
2015,7.250383325277015,93,74.3305743509048,0.0975424095480403
2016,7.151656714706861,93,74.57745948072385,0.09589568704140909
2017,7.018806054518093,93,74.80261264096512,0.09383102817820956
2018,6.90424029893096,93,75.07081379491214,0.09196970100514468
2019,6.816960360290322,93,75.33325281930239,0.09049072096543845
