bz_country,region,year,bz_le,regional_mean,regional_std,regional_max,advantage_over_region,n_peers,rank_in_region,total_in_region
JPN,East Asia & Pacific,1960,67.6956097560976,55.01210881801126,10.903186335988075,71.2365853658537,12.68350093808634,13,3,14
JPN,East Asia & Pacific,1961,68.3519512195122,55.929084427767364,9.802610867812712,70.9853658536585,12.422866791744838,13,3,14
JPN,East Asia & Pacific,1962,68.6348780487805,57.12182551594747,8.647922957638217,71.2317073170732,11.513052532833022,13,3,14
JPN,East Asia & Pacific,1963,69.7124390243902,57.44301500938088,8.42327521955117,71.280487804878,12.269424015009328,13,3,14
JPN,East Asia & Pacific,1964,70.2065853658537,57.89537711069416,8.203164138765521,71.3292682926829,12.311208255159535,13,3,14
JPN,East Asia & Pacific,1965,70.2668292682927,57.71803939962476,8.816298798448448,71.2268292682927,12.548789868667939,13,3,14
JPN,East Asia & Pacific,1966,70.9158536585366,58.41074671669796,7.972067734245817,71.1243902439025,12.505106941838648,13,2,14
JPN,East Asia & Pacific,1967,71.4660975609756,59.314735459662295,7.522195543374742,71.4731707317073,12.151362101313303,13,2,14
JPN,East Asia & Pacific,1968,71.6109756097561,59.311881801125715,7.497496863825047,71.1243902439025,12.299093808630381,13,1,14
JPN,East Asia & Pacific,1969,71.8580487804878,59.855371482176366,7.202684290307135,71.4731707317073,12.00267729831144,13,1,14
JPN,East Asia & Pacific,1970,71.919756097561,60.23452908067542,7.006948771901142,71.2731707317073,11.685227016885584,13,1,14
JPN,East Asia & Pacific,1971,72.8090243902439,60.68368292682927,6.878860698655044,71.7731707317073,12.125341463414635,13,1,14
JPN,East Asia & Pacific,1972,73.1536585365854,60.72939587242027,7.086107952462725,71.8292682926829,12.424262664165127,13,1,14
JPN,East Asia & Pacific,1973,73.2951219512195,61.276607879924946,6.672586427273391,71.8468292682927,12.018514071294554,13,1,14
JPN,East Asia & Pacific,1974,73.6721951219512,61.62099061913697,6.720987291814641,72.2360975609756,12.051204502814237,13,1,14
JPN,East Asia & Pacific,1975,74.2470731707317,62.592234521576,6.357489152656825,72.6253658536586,11.654838649155693,13,1,14
JPN,East Asia & Pacific,1976,74.6865853658537,63.07969793621013,6.312608037383959,73.0146341463415,11.606887429643571,13,1,14
JPN,East Asia & Pacific,1977,75.2558536585366,63.54775422138835,6.16030762815574,73.3443902439024,11.708099437148242,13,1,14
JPN,East Asia & Pacific,1978,75.5846341463415,63.96075234521576,6.201811862475184,73.6741463414634,11.62388180112574,13,1,14
JPN,East Asia & Pacific,1979,76.1087804878049,64.25217636022514,6.122286203271171,74.0039024390244,11.856604127579772,13,1,14
JPN,East Asia & Pacific,1980,75.9890243902439,64.61411632270168,6.0839497912522305,74.3336585365854,11.374908067542222,13,1,14
JPN,East Asia & Pacific,1981,76.3948780487805,65.0035009380863,6.158927183883299,74.6634146341463,11.391377110694194,13,1,14
JPN,East Asia & Pacific,1982,76.8736585365854,65.3484765478424,6.095600198540719,74.9048780487805,11.525181988743,13,1,14
JPN,East Asia & Pacific,1983,76.9219512195122,65.74560600375234,6.031969708752342,75.1463414634146,11.176345215759852,13,1,14
JPN,East Asia & Pacific,1984,77.2912195121951,66.16583864915572,6.050240121500525,75.3878048780488,11.125380863039382,13,1,14
JPN,East Asia & Pacific,1985,77.5604878048781,66.53953095684803,5.976833497759476,75.6292682926829,11.020956848030067,13,1,14
JPN,East Asia & Pacific,1986,78.0104878048781,66.8643358348968,6.019003713256347,75.8707317073171,11.14615196998129,13,1,14
JPN,East Asia & Pacific,1987,78.429512195122,67.1982382739212,6.004745910498503,76.1517073170732,11.231273921200795,13,1,14
JPN,East Asia & Pacific,1988,78.349756097561,67.54149343339587,6.001294713201232,76.4326829268293,10.808262664165127,13,1,14
JPN,East Asia & Pacific,1989,78.7685365853659,67.88039774859287,5.990769277267382,76.7136585365854,10.888138836773024,13,1,14
JPN,East Asia & Pacific,1990,78.8370731707317,68.14979737335835,6.064329079408671,76.9946341463415,10.687275797373346,13,1,14
JPN,East Asia & Pacific,1991,79.0368292682927,68.49084615384615,6.121937652686235,77.2756097560976,10.545983114446557,13,1,14
JPN,East Asia & Pacific,1992,79.080243902439,68.79571857410882,6.065608313183807,77.3780487804878,10.284525328330176,13,1,14
JPN,East Asia & Pacific,1993,79.3036585365854,69.12416135084428,6.06953509486932,77.8780487804878,10.179497185741127,13,1,14
JPN,East Asia & Pacific,1994,79.6968292682927,69.38346904315198,6.046822460904705,77.8780487804878,10.313360225140727,13,1,14
JPN,East Asia & Pacific,1995,79.5360975609756,69.59304127579736,5.9532823585405374,77.8292682926829,9.943056285178244,13,1,14
JPN,East Asia & Pacific,1996,80.219756097561,69.87601500938088,5.927945136804754,78.0780487804878,10.343741088180124,13,1,14
JPN,East Asia & Pacific,1997,80.4241463414634,70.20951031894934,5.987563624529527,78.4804878048781,10.214636022514057,13,1,14
JPN,East Asia & Pacific,1998,80.5014634146342,70.4626885553471,6.186090825311567,78.6317073170732,10.038774859287102,13,1,14
JPN,East Asia & Pacific,1999,80.4609756097561,70.73545590994372,6.065957628802757,78.9317073170732,9.72551969981238,13,1,14
JPN,East Asia & Pacific,2000,81.0760975609756,70.99566979362102,6.213765470764154,79.2341463414634,10.080427767354578,13,1,14
JPN,East Asia & Pacific,2001,81.4163414634146,71.24255722326454,6.281832913419174,79.6341463414634,10.173784240150056,13,1,14
JPN,East Asia & Pacific,2002,81.6907317073171,71.41661538461538,6.392093188539187,79.9365853658537,10.274116322701715,13,1,14
JPN,East Asia & Pacific,2003,81.76,71.68161726078799,6.470182432186037,80.2390243902439,10.078382739212017,13,1,14
JPN,East Asia & Pacific,2004,82.030243902439,71.7701632270169,6.670844240206441,80.490243902439,10.260080675422103,13,1,14
JPN,East Asia & Pacific,2005,81.9551219512195,72.22486303939962,6.649268126138357,80.8414634146341,9.730258911819874,13,1,14
JPN,East Asia & Pacific,2006,82.3219512195122,72.43392307692308,6.698477642837432,81.0414634146342,9.888028142589121,13,1,14
JPN,East Asia & Pacific,2007,82.5070731707317,72.70160600375235,6.716210905917338,81.2926829268293,9.805467166979355,13,1,14
JPN,East Asia & Pacific,2008,82.5875609756098,72.43358911819887,7.679687569237378,81.3951219512195,10.153971857410937,13,1,14
JPN,East Asia & Pacific,2009,82.9314634146342,73.18062288930581,6.77268682390198,81.5439024390244,9.750840525328385,13,1,14
JPN,East Asia & Pacific,2010,82.8426829268293,73.42196435272047,6.7284221813090905,81.6951219512195,9.420718574108832,13,1,14
JPN,East Asia & Pacific,2011,82.5912195121951,73.66164727954971,6.719982659674294,81.8951219512195,8.929572232645384,13,1,14
JPN,East Asia & Pacific,2012,83.0960975609756,73.78256097560975,6.817748707609791,82.0463414634146,9.313536585365839,13,1,14
JPN,East Asia & Pacific,2013,83.3319512195122,74.01567166979365,6.744280327499221,82.2463414634147,9.316279549718558,13,1,14
JPN,East Asia & Pacific,2014,83.5878048780488,74.19799249530956,6.748720625499436,82.4951219512195,9.389812382739237,13,1,14
JPN,East Asia & Pacific,2015,83.7939024390244,74.36713320825517,6.761842723731852,82.7439024390244,9.426769230769224,13,1,14
JPN,East Asia & Pacific,2016,83.9848780487805,74.52209756097562,6.720358523805047,82.8463414634146,9.462780487804878,13,1,14
JPN,East Asia & Pacific,2017,84.099756097561,74.74488367729832,6.673242045601407,83.0951219512195,9.35487242026268,13,1,14
JPN,East Asia & Pacific,2018,84.2109756097561,74.86657598499062,6.684106906303475,83.2975609756098,9.344399624765487,13,1,14
JPN,East Asia & Pacific,2019,84.3563414634146,75.06554221388369,6.763043759978247,83.5951219512195,9.290799249530906,13,1,14
JPN,East Asia & Pacific,2020,84.56,75.13398686679174,6.927204781227737,83.5439024390244,9.426013133208258,13,1,14
JPN,East Asia & Pacific,2021,84.4456097560976,74.21952532833019,7.638885615975508,83.5268292682927,10.226084427767404,13,1,14
JPN,East Asia & Pacific,2022,83.9963414634146,74.88447279549717,6.602743243030636,83.2,9.11186866791742,13,1,14
JPN,East Asia & Pacific,2023,84.0412195121951,75.33142213883677,6.579491359144031,83.4292682926829,8.709797373358327,13,1,14
ITA,Southern Europe,1960,69.1239024390244,64.48023658536587,4.684556932762774,70.4343170731707,4.643665853658533,10,2,11
ITA,Southern Europe,1961,69.760243902439,64.84177073170733,4.378645004388121,70.2830243902439,4.918473170731673,10,2,11
ITA,Southern Europe,1962,69.149756097561,65.10096341463415,4.37601637607951,70.2246097560976,4.048792682926845,10,3,11
ITA,Southern Europe,1963,69.2480487804878,65.62653658536587,3.936222826147887,70.5639756097561,3.6215121951219373,10,3,11
ITA,Southern Europe,1964,70.3117073170732,66.08595853658537,3.7621174862624347,70.4581707317073,4.225748780487834,10,3,11
ITA,Southern Europe,1965,70.1717073170732,66.73577073170733,3.5971225895629315,71.3916829268293,3.435936585365866,10,3,11
ITA,Southern Europe,1966,70.9260975609756,67.25621951219513,3.4377665679924165,71.800512195122,3.6698780487804754,10,3,11
ITA,Southern Europe,1967,70.9565853658537,67.65724634146342,3.2071252827846575,71.307,3.299339024390278,10,3,11
ITA,Southern Europe,1968,70.78,67.91489268292682,2.970649647613321,71.5378048780488,2.865107317073182,10,3,11
ITA,Southern Europe,1969,70.8119512195122,67.92318536585367,2.9336591594138826,71.9788780487805,2.8887658536585263,10,3,11
ITA,Southern Europe,1970,71.5587804878049,68.41955853658537,2.8540430563777686,72.6807804878049,3.1392219512195254,10,3,11
ITA,Southern Europe,1971,71.8068292682927,68.58089512195122,2.7345036709911366,72.8671707317073,3.225934146341487,10,2,11
ITA,Southern Europe,1972,72.0753658536586,69.11158292682929,2.633580394825198,72.8180487804878,2.9637829268293103,10,3,11
ITA,Southern Europe,1973,72.0263414634146,69.47981951219512,2.3609407545804637,72.9059268292683,2.546521951219475,10,3,11
ITA,Southern Europe,1974,72.7343902439025,69.96902439024389,2.2976522628715372,73.3943658536585,2.765365853658608,10,3,11
ITA,Southern Europe,1975,72.6473170731708,70.22050731707319,2.2263648958755318,73.4011707317073,2.4268097560976116,10,3,11
ITA,Southern Europe,1976,72.9919512195122,70.54541951219512,2.132633695469868,73.6791219512195,2.446531707317078,10,3,11
ITA,Southern Europe,1977,73.3646341463415,70.83116341463413,1.9982278240109261,74.1319512195122,2.533470731707368,10,3,11
ITA,Southern Europe,1978,73.6931707317073,71.04388536585367,1.9732042200236086,74.3631707317073,2.649285365853629,10,3,11
ITA,Southern Europe,1979,74.0026829268293,71.19882926829268,2.024892267853013,74.8187804878049,2.8038536585366103,10,3,11
ITA,Southern Europe,1980,73.9431707317073,71.38542439024391,2.0766976042617653,75.3492682926829,2.5577463414633854,10,3,11
ITA,Southern Europe,1981,74.3539024390244,71.61004390243906,2.0611399295569766,75.5285365853659,2.7438585365853356,10,3,11
ITA,Southern Europe,1982,74.8146341463415,71.85976097560977,2.18341698058899,76.1341463414634,2.95487317073173,10,3,11
ITA,Southern Europe,1983,74.640243902439,71.80202195121952,2.2147679724631946,75.9090243902439,2.838221951219481,10,3,11
