country_name,latitude,longitude,is_blue_zone,blue_zone_region,forest_area_pct,gdp_per_capita,life_expectancy,physicians_per_1000,pm25_air_pollution,population_total,urban_population_pct,infant_mortality,life_expectancy_who,maternal_mortality,effective_gravity,gravity_deviation,gravity_deviation_pct,data_collection_date,data_source
United States,39.8283,-98.5795,1,Loma Linda,,,,,,,,15.7,76.4,102.0,9.801549118673918,-0.0051008813260811,-0.0520145138868126,2025-09-21 17:42:57.914081,Real-World-Multi-API
Japan,36.2048,138.2529,1,Okinawa,,,,,,,,18.7,84.5,64.0,9.798371873494798,-0.0082781265052016,-0.0844133981043644,2025-09-21 17:42:57.914081,Real-World-Multi-API
Italy,41.8719,12.5674,1,Sardinia,,,,,,,,19.3,84.3,54.0,9.803377893761844,-0.0032721062381568,-0.0333661978163478,2025-09-21 17:42:57.914081,Real-World-Multi-API
Greece,39.0742,21.8243,1,Ikaria,,,,,,,,18.1,82.0,109.0,9.80087991831845,-0.0057700816815486,-0.0588384584088214,2025-09-21 17:42:57.914081,Real-World-Multi-API
Costa Rica,9.7489,-83.7534,1,Nicoya,60.0785350567959,13625.9008491478,79.316,2.636,14.3075712471404,5081765.0,82.042,18.5,75.9,73.0,9.78181063206008,-0.0248393679399203,-0.2532910620846096,2025-09-21 17:42:57.914081,Real-World-Multi-API
China,35.8617,104.1954,0,,23.8317336318638,12970.6056414327,78.202,2.518,34.8105237153218,1412175000.0,63.56,17.2,80.5,118.0,9.798076816587256,-0.0085731834127429,-0.0874221412280741,2025-09-21 17:42:57.914081,Real-World-Multi-API
India,20.5937,78.9629,0,,,,,,,,,11.9,67.3,183.0,9.786721430146091,-0.0199285698539082,-0.203214857814934,2025-09-21 17:42:57.914081,Real-World-Multi-API
Brazil,-14.235,-51.9253,0,,59.1275118866159,9281.33334441234,74.872,2.142,12.1793252040724,210306415.0,87.555,14.4,69.0,226.0,9.783452859510486,-0.023197140489513,-0.2365450025188321,2025-09-21 17:42:57.914081,Real-World-Multi-API
Russia,61.524,105.3188,0,,,,,,,,,10.8,65.6,221.0,9.82036024663682,0.013710246636819,0.1398056077949053,2025-09-21 17:42:57.914081,Real-World-Multi-API
Canada,56.1304,-106.3468,0,,39.4659199995449,56256.8007264015,81.2453658536585,2.497,6.56566994375263,38935934.0,81.752,19.3,79.4,51.0,9.81603376037,0.0093837603700013,0.0956877258799011,2025-09-21 17:42:57.914081,Real-World-Multi-API
Australia,-25.2744,133.7751,0,,17.4213145571644,64997.0136536475,83.2,3.981,8.25171746070811,26014399.0,86.488,18.4,84.9,73.0,9.7897495750052,-0.0169004249947999,-0.1723363737341491,2025-09-21 17:42:57.914081,Real-World-Multi-API
Germany,51.1657,10.4515,0,,32.685482024273,49686.1154582583,80.6080487804878,4.518,10.2876894329414,83797985.0,77.648,18.3,82.9,48.0,9.8117431505693,0.0050931505692997,0.0519356821065267,2025-09-21 17:42:57.914081,Real-World-Multi-API
United Kingdom,55.3781,-3.436,0,,,,,,,,,17.5,80.1,60.0,9.8153992619662,0.0087492619661997,0.0892176427852502,2025-09-21 17:42:57.914081,Real-World-Multi-API
France,46.6034,1.8883,0,,31.8136741928238,41082.8119320747,82.1292682926829,3.343,9.60038144780495,68065015.0,81.509,18.6,84.7,70.0,9.807653564977183,0.001003564977184,0.0102335147801136,2025-09-21 17:42:57.914081,Real-World-Multi-API
Spain,40.4637,-3.7492,0,,,,,,,,,20.1,80.0,73.0,9.802115562781008,-0.0045344372189912,-0.0462383914893594,2025-09-21 17:42:57.914081,Real-World-Multi-API
Norway,60.472,8.4689,0,,,,,,,,,18.7,81.5,36.0,9.819550890553678,0.0129008905536789,0.1315524725944021,2025-09-21 17:42:57.914081,Real-World-Multi-API
Sweden,60.1282,18.6435,0,,,,,,,,,19.2,84.3,59.0,9.819282451972,0.0126324519719993,0.1288151608551274,2025-09-21 17:42:57.914081,Real-World-Multi-API
Denmark,56.2639,9.5018,0,,15.758,68091.3191138669,81.3048780487805,4.381,9.06983927345931,5903037.0,88.367,18.0,82.9,44.0,9.816145666509076,0.0094956665090766,0.0968288509233696,2025-09-21 17:42:57.914081,Real-World-Multi-API
Switzerland,46.8182,8.2275,0,,,,,,,,,19.0,81.5,33.0,9.807847687153538,0.0011976871535388,0.0122130100853895,2025-09-21 17:42:57.914081,Real-World-Multi-API
Netherlands,52.1326,5.2913,0,,,,,,,,,18.4,82.6,67.0,9.812595655366712,0.0059456553667125,0.0606288117421601,2025-09-21 17:42:57.914081,Real-World-Multi-API
South Korea,35.9078,127.7669,0,,,,,,,,,19.6,83.8,54.0,9.798116393701475,-0.0085336062985224,-0.0870185669777385,2025-09-21 17:42:57.914081,Real-World-Multi-API
Mexico,23.6345,-102.5528,0,,,,,,,,,14.9,74.7,141.0,9.788634279748775,-0.0180157202512223,-0.183709220286462,2025-09-21 17:42:57.914081,Real-World-Multi-API
Argentina,-38.4161,-63.6167,0,,10.3611377978507,13935.6811110049,75.806,4.082,14.9081737974407,45407904.0,92.347,13.5,74.6,130.0,9.80029896779157,-0.0063510322084301,-0.0647625051208123,2025-09-21 17:42:57.914081,Real-World-Multi-API
Chile,-35.6751,-71.543,0,,24.8227737340155,15405.6165774073,79.176,3.17,23.2750668049145,19553036.0,87.912,17.8,81.4,93.0,9.797916838002305,-0.0087331619976946,-0.0890534687961199,2025-09-21 17:42:57.914081,Real-World-Multi-API
Peru,-9.19,-75.0152,0,,,,,,,,,15.5,68.8,137.0,9.781647129648594,-0.0250028703514058,-0.2549583226831365,2025-09-21 17:42:57.914081,Real-World-Multi-API
Colombia,4.5709,-74.2973,0,,52.9457763857593,6680.44506854481,76.508,2.451,14.1832514905064,51737944.0,82.05,14.4,77.6,129.0,9.780657921870048,-0.0259920781299509,-0.2650454347810003,2025-09-21 17:42:57.914081,Real-World-Multi-API
Venezuela,6.4238,-66.5897,0,,,,,,,,,13.5,71.2,171.0,9.780976344115862,-0.0256736558841375,-0.261798431514712,2025-09-21 17:42:57.914081,Real-World-Multi-API
Ecuador,-1.8312,-78.1834,0,,49.8038734095668,6515.58528418336,76.577,2.308,16.6570210758922,17823897.0,64.57,,,,9.780382723227628,-0.026267276772371,-0.2678516799556532,2025-09-21 17:42:57.914081,Real-World-Multi-API
Bolivia,-16.2902,-63.5887,0,,46.5396883596418,3643.92826984604,67.434,1.269,22.879459074231,12077154.0,70.83,,,,9.784393921917609,-0.0222560780823908,-0.2269488365791664,2025-09-21 17:42:57.914081,Real-World-Multi-API
Paraguay,-23.4425,-58.4438,0,,,,,,,,,,,,9.788507403952194,-0.0181425960478058,-0.1850029933545694,2025-09-21 17:42:57.914081,Real-World-Multi-API
Uruguay,-32.5228,-55.7658,0,,,,,,,,,,,,9.7952733615187,-0.0113766384813001,-0.1160094270857031,2025-09-21 17:42:57.914081,Real-World-Multi-API
South Africa,-30.5595,22.9375,0,,,,,,,,,11.3,64.0,432.0,9.793692322371635,-0.0129576776283624,-0.1321315396018255,2025-09-21 17:42:57.914081,Real-World-Multi-API
Egypt,26.0975,30.0444,0,,,,,,,,,10.3,69.1,171.0,9.79032996984592,-0.0163200301540804,-0.1664179934440451,2025-09-21 17:42:57.914081,Real-World-Multi-API
Morocco,31.7917,-7.0926,0,,,,,,,,,13.4,71.5,144.0,9.794678167123449,-0.0119718328765525,-0.1220787208328284,2025-09-21 17:42:57.914081,Real-World-Multi-API
Algeria,28.0339,1.6596,0,,0.826332963995665,4961.55257664733,76.129,0.987,25.5526558310447,45477389.0,74.772,,,,9.791746354190138,-0.014903645809861,-0.1519748926479586,2025-09-21 17:42:57.914081,Real-World-Multi-API
Tunisia,33.8869,9.5375,0,,,,,,,,,,,,9.796402759936845,-0.0102472400631565,-0.1044927683067773,2025-09-21 17:42:57.914081,Real-World-Multi-API
Libya,26.3351,17.2283,0,,,,,,,,,,,,9.79049997521468,-0.0161500247853201,-0.1646844211358632,2025-09-21 17:42:57.914081,Real-World-Multi-API
Nigeria,9.082,8.6753,0,,,,,,,,,13.9,62.1,212.0,9.781616608866525,-0.0250333911334745,-0.2552695480462194,2025-09-21 17:42:57.914081,Real-World-Multi-API
Kenya,-0.0236,37.9062,0,,,,,,,,,13.0,69.2,241.0,9.780330008759924,-0.0263199912400757,-0.2683892179294232,2025-09-21 17:42:57.914081,Real-World-Multi-API
Ethiopia,9.145,40.4897,0,,14.9946206327752,1011.07332413462,66.897,0.108,27.3053276470482,125384287.0,22.661,13.0,69.7,223.0,9.781634370287946,-0.0250156297120529,-0.2550884319523278,2025-09-21 17:42:57.914081,Real-World-Multi-API
Ghana,7.9465,-1.0232,0,,35.1604431005612,2229.89122647803,65.246,0.141,54.2427873097724,33149152.0,58.615,,,,9.781316911431787,-0.0253330885682121,-0.2583256113781174,2025-09-21 17:42:57.914081,Real-World-Multi-API
