country_name,latitude,longitude,is_blue_zone,blue_zone_region,forest_area_pct,gdp_per_capita,life_expectancy,physicians_per_1000,pm25_air_pollution,population_total,urban_population_pct,infant_mortality,life_expectancy_who,maternal_mortality,effective_gravity,gravity_deviation,gravity_deviation_pct,data_collection_date,data_source
United States,39.8283,-98.5795,1,Loma Linda,,,,,,,,15.7,76.4,102.0,9.801549118673918,-0.005100881326081108,-0.05201451388681261,2025-09-21 17:42:57.914081,Real-World-Multi-API
Japan,36.2048,138.2529,1,Okinawa,,,,,,,,18.7,84.5,64.0,9.798371873494798,-0.008278126505201655,-0.08441339810436443,2025-09-21 17:42:57.914081,Real-World-Multi-API
Italy,41.8719,12.5674,1,Sardinia,,,,,,,,19.3,84.3,54.0,9.803377893761843,-0.00327210623815688,-0.03336619781634789,2025-09-21 17:42:57.914081,Real-World-Multi-API
Greece,39.0742,21.8243,1,Ikaria,,,,,,,,18.1,82.0,109.0,9.80087991831845,-0.005770081681548689,-0.05883845840882146,2025-09-21 17:42:57.914081,Real-World-Multi-API
Costa Rica,9.7489,-83.7534,1,Nicoya,60.0785350567959,13625.9008491478,79.316,2.636,14.3075712471404,5081765.0,82.042,18.5,75.9,73.0,9.781810632060079,-0.024839367939920365,-0.2532910620846096,2025-09-21 17:42:57.914081,Real-World-Multi-API
China,35.8617,104.1954,0,,23.8317336318638,12970.6056414327,78.202,2.518,34.8105237153218,1412175000.0,63.56,17.2,80.5,118.0,9.798076816587256,-0.008573183412742935,-0.08742214122807417,2025-09-21 17:42:57.914081,Real-World-Multi-API
India,20.5937,78.9629,0,,,,,,,,,11.9,67.3,183.0,9.786721430146091,-0.01992856985390823,-0.20321485781493406,2025-09-21 17:42:57.914081,Real-World-Multi-API
Brazil,-14.235,-51.9253,0,,59.1275118866159,9281.33334441234,74.872,2.142,12.1793252040724,210306415.0,87.555,14.4,69.0,226.0,9.783452859510486,-0.023197140489513046,-0.2365450025188321,2025-09-21 17:42:57.914081,Real-World-Multi-API
Russia,61.524,105.3188,0,,,,,,,,,10.8,65.6,221.0,9.820360246636819,0.013710246636819079,0.1398056077949053,2025-09-21 17:42:57.914081,Real-World-Multi-API
Canada,56.1304,-106.3468,0,,39.4659199995449,56256.8007264015,81.2453658536585,2.497,6.56566994375263,38935934.0,81.752,19.3,79.4,51.0,9.81603376037,0.009383760370001326,0.09568772587990115,2025-09-21 17:42:57.914081,Real-World-Multi-API
Australia,-25.2744,133.7751,0,,17.4213145571644,64997.0136536475,83.2,3.981,8.25171746070811,26014399.0,86.488,18.4,84.9,73.0,9.7897495750052,-0.016900424994799934,-0.17233637373414912,2025-09-21 17:42:57.914081,Real-World-Multi-API
Germany,51.1657,10.4515,0,,32.685482024273,49686.1154582583,80.6080487804878,4.518,10.2876894329414,83797985.0,77.648,18.3,82.9,48.0,9.8117431505693,0.005093150569299709,0.051935682106526784,2025-09-21 17:42:57.914081,Real-World-Multi-API
United Kingdom,55.3781,-3.436,0,,,,,,,,,17.5,80.1,60.0,9.8153992619662,0.00874926196619974,0.08921764278525021,2025-09-21 17:42:57.914081,Real-World-Multi-API
France,46.6034,1.8883,0,,31.8136741928238,41082.8119320747,82.1292682926829,3.343,9.60038144780495,68065015.0,81.509,18.6,84.7,70.0,9.807653564977183,0.0010035649771840127,0.010233514780113624,2025-09-21 17:42:57.914081,Real-World-Multi-API
Spain,40.4637,-3.7492,0,,,,,,,,,20.1,80.0,73.0,9.802115562781008,-0.004534437218991272,-0.04623839148935949,2025-09-21 17:42:57.914081,Real-World-Multi-API
Norway,60.472,8.4689,0,,,,,,,,,18.7,81.5,36.0,9.819550890553678,0.012900890553678934,0.13155247259440211,2025-09-21 17:42:57.914081,Real-World-Multi-API
Sweden,60.1282,18.6435,0,,,,,,,,,19.2,84.3,59.0,9.819282451971999,0.012632451971999359,0.12881516085512748,2025-09-21 17:42:57.914081,Real-World-Multi-API
Denmark,56.2639,9.5018,0,,15.758,68091.3191138669,81.3048780487805,4.381,9.06983927345931,5903037.0,88.367,18.0,82.9,44.0,9.816145666509076,0.009495666509076628,0.09682885092336962,2025-09-21 17:42:57.914081,Real-World-Multi-API
Switzerland,46.8182,8.2275,0,,,,,,,,,19.0,81.5,33.0,9.807847687153538,0.0011976871535388511,0.01221301008538952,2025-09-21 17:42:57.914081,Real-World-Multi-API
Netherlands,52.1326,5.2913,0,,,,,,,,,18.4,82.6,67.0,9.812595655366712,0.005945655366712543,0.0606288117421601,2025-09-21 17:42:57.914081,Real-World-Multi-API
South Korea,35.9078,127.7669,0,,,,,,,,,19.6,83.8,54.0,9.798116393701477,-0.0085336062985224,-0.08701856697773859,2025-09-21 17:42:57.914081,Real-World-Multi-API
Mexico,23.6345,-102.5528,0,,,,,,,,,14.9,74.7,141.0,9.788634279748777,-0.018015720251222334,-0.18370922028646208,2025-09-21 17:42:57.914081,Real-World-Multi-API
Argentina,-38.4161,-63.6167,0,,10.3611377978507,13935.6811110049,75.806,4.082,14.9081737974407,45407904.0,92.347,13.5,74.6,130.0,9.80029896779157,-0.006351032208430141,-0.06476250512081232,2025-09-21 17:42:57.914081,Real-World-Multi-API
Chile,-35.6751,-71.543,0,,24.8227737340155,15405.6165774073,79.176,3.17,23.2750668049145,19553036.0,87.912,17.8,81.4,93.0,9.797916838002305,-0.008733161997694694,-0.08905346879611992,2025-09-21 17:42:57.914081,Real-World-Multi-API
Peru,-9.19,-75.0152,0,,,,,,,,,15.5,68.8,137.0,9.781647129648594,-0.025002870351405804,-0.2549583226831365,2025-09-21 17:42:57.914081,Real-World-Multi-API
Colombia,4.5709,-74.2973,0,,52.9457763857593,6680.44506854481,76.508,2.451,14.1832514905064,51737944.0,82.05,14.4,77.6,129.0,9.780657921870048,-0.02599207812995097,-0.26504543478100034,2025-09-21 17:42:57.914081,Real-World-Multi-API
Venezuela,6.4238,-66.5897,0,,,,,,,,,13.5,71.2,171.0,9.780976344115862,-0.025673655884137503,-0.261798431514712,2025-09-21 17:42:57.914081,Real-World-Multi-API
Ecuador,-1.8312,-78.1834,0,,49.8038734095668,6515.58528418336,76.577,2.308,16.6570210758922,17823897.0,64.57,,,,9.780382723227628,-0.026267276772371062,-0.2678516799556532,2025-09-21 17:42:57.914081,Real-World-Multi-API
Bolivia,-16.2902,-63.5887,0,,46.5396883596418,3643.92826984604,67.434,1.269,22.879459074231,12077154.0,70.83,,,,9.784393921917609,-0.02225607808239083,-0.22694883657916648,2025-09-21 17:42:57.914081,Real-World-Multi-API
Paraguay,-23.4425,-58.4438,0,,,,,,,,,,,,9.788507403952194,-0.01814259604780588,-0.18500299335456943,2025-09-21 17:42:57.914081,Real-World-Multi-API
Uruguay,-32.5228,-55.7658,0,,,,,,,,,,,,9.7952733615187,-0.011376638481300105,-0.11600942708570312,2025-09-21 17:42:57.914081,Real-World-Multi-API
South Africa,-30.5595,22.9375,0,,,,,,,,,11.3,64.0,432.0,9.793692322371637,-0.012957677628362418,-0.1321315396018255,2025-09-21 17:42:57.914081,Real-World-Multi-API
Egypt,26.0975,30.0444,0,,,,,,,,,10.3,69.1,171.0,9.790329969845919,-0.016320030154080456,-0.16641799344404518,2025-09-21 17:42:57.914081,Real-World-Multi-API
Morocco,31.7917,-7.0926,0,,,,,,,,,13.4,71.5,144.0,9.794678167123447,-0.011971832876552568,-0.12207872083282842,2025-09-21 17:42:57.914081,Real-World-Multi-API
Algeria,28.0339,1.6596,0,,0.826332963995665,4961.55257664733,76.129,0.987,25.5526558310447,45477389.0,74.772,,,,9.791746354190138,-0.014903645809861032,-0.15197489264795863,2025-09-21 17:42:57.914081,Real-World-Multi-API
Tunisia,33.8869,9.5375,0,,,,,,,,,,,,9.796402759936843,-0.010247240063156582,-0.10449276830677738,2025-09-21 17:42:57.914081,Real-World-Multi-API
Libya,26.3351,17.2283,0,,,,,,,,,,,,9.79049997521468,-0.016150024785320127,-0.1646844211358632,2025-09-21 17:42:57.914081,Real-World-Multi-API
Nigeria,9.082,8.6753,0,,,,,,,,,13.9,62.1,212.0,9.781616608866525,-0.02503339113347458,-0.25526954804621943,2025-09-21 17:42:57.914081,Real-World-Multi-API
Kenya,-0.0236,37.9062,0,,,,,,,,,13.0,69.2,241.0,9.780330008759924,-0.02631999124007578,-0.2683892179294232,2025-09-21 17:42:57.914081,Real-World-Multi-API
Ethiopia,9.145,40.4897,0,,14.9946206327752,1011.07332413462,66.897,0.108,27.3053276470482,125384287.0,22.661,13.0,69.7,223.0,9.781634370287946,-0.025015629712052956,-0.25508843195232783,2025-09-21 17:42:57.914081,Real-World-Multi-API
Ghana,7.9465,-1.0232,0,,35.1604431005612,2229.89122647803,65.246,0.141,54.2427873097724,33149152.0,58.615,,,,9.781316911431787,-0.025333088568212148,-0.2583256113781174,2025-09-21 17:42:57.914081,Real-World-Multi-API
Tanzania,-6.369,34.8888,0,,,,,,,,,,,,9.78096540819436,-0.0256845918056392,-0.26190994687930336,2025-09-21 17:42:57.914081,Real-World-Multi-API
Uganda,1.3733,32.2903,0,,,,,,,,,,,,9.780359656857295,-0.026290343142704842,-0.2680868914736923,2025-09-21 17:42:57.914081,Real-World-Multi-API
Mozambique,-18.6657,35.5296,0,,,,,,,,,,,,9.785621046452471,-0.021028953547528317,-0.21443564874374346,2025-09-21 17:42:57.914081,Real-World-Multi-API
Madagascar,-18.7669,46.8691,0,,,,,,,,,,,,9.785676528522169,-0.020973471477830685,-0.213869889083741,2025-09-21 17:42:57.914081,Real-World-Multi-API
Botswana,-22.3285,24.6849,0,,26.4995676953752,8328.70905682185,68.749,0.378,18.9057549925814,2439892.0,72.224,,,,9.787787150899533,-0.01886284910046676,-0.19234753050702086,2025-09-21 17:42:57.914081,Real-World-Multi-API
Namibia,-22.9576,18.4904,0,,,,,,,,,,,,9.78819053449324,-0.018459465506760253,-0.18823416260150258,2025-09-21 17:42:57.914081,Real-World-Multi-API
Zambia,-13.1339,27.8493,0,,,,,,,,,,,,9.782996503003355,-0.023653496996644208,-0.24119854381102832,2025-09-21 17:42:57.914081,Real-World-Multi-API
Zimbabwe,-19.0154,29.1549,0,,,,,,,,,,,,9.785813852252877,-0.02083614774712217,-0.21246957673744013,2025-09-21 17:42:57.914081,Real-World-Multi-API
Turkey,38.9637,35.2433,0,,,,,,,,,14.6,72.5,67.0,9.80078216383021,-0.0058678361697896975,-0.059835276774328615,2025-09-21 17:42:57.914081,Real-World-Multi-API
Iran,32.4279,53.688,0,,,,,,,,,14.8,74.7,121.0,9.795195689364101,-0.011454310635897968,-0.11680146263910682,2025-09-21 17:42:57.914081,Real-World-Multi-API
Iraq,33.2232,43.6793,0,,,,,,,,,12.0,73.9,181.0,9.795850294437528,-0.010799705562471118,-0.11012634857439717,2025-09-21 17:42:57.914081,Real-World-Multi-API
Saudi Arabia,23.8859,45.0792,0,,,,,,,,,14.9,77.4,96.0,9.788801602355486,-0.017848397644513625,-0.1820030045378761,2025-09-21 17:42:57.914081,Real-World-Multi-API
Israel,31.0461,34.8516,0,,,,,,,,,17.9,82.1,54.0,9.794078954437714,-0.012571045562285832,-0.128188989739471,2025-09-21 17:42:57.914081,Real-World-Multi-API
Jordan,30.5852,36.2384,0,,,,,,,,,14.8,77.0,78.0,9.793712652676263,-0.012937347323736859,-0.13192422818941085,2025-09-21 17:42:57.914081,Real-World-Multi-API
Lebanon,33.8547,35.8623,0,,,,,,,,,,,,9.796375831681084,-0.010274168318915144,-0.10476736009661959,2025-09-21 17:42:57.914081,Real-World-Multi-API
Syria,34.8021,38.9968,0,,,,,,,,,,,,9.797173218601086,-0.009476781398912948,-0.09663627639319185,2025-09-21 17:42:57.914081,Real-World-Multi-API
Afghanistan,33.9391,67.71,0,,1.85278199408184,357.261152798144,65.617,0.254,46.0870936659706,40578842.0,26.616,9.9,61.0,344.0,9.796446440346012,-0.010203559653987782,-0.104047352092588,2025-09-21 17:42:57.914081,Real-World-Multi-API
Pakistan,30.3753,69.3451,0,,,,,,,,,12.4,66.0,187.0,9.79354690607389,-0.013103093926108755,-0.13361437316625713,2025-09-21 17:42:57.914081,Real-World-Multi-API
Bangladesh,23.685,90.3563,0,,14.4687716063609,2716.48592780431,74.265,0.67,42.3813762359965,169384897.0,39.711,14.6,73.1,108.0,9.788667782295743,-0.017982217704256342,-0.18336758938328934,2025-09-21 17:42:57.914081,Real-World-Multi-API
Myanmar,21.9162,95.956,0,,,,,,,,,,,,9.787527593514156,-0.019122406485843513,-0.19499427924768922,2025-09-21 17:42:57.914081,Real-World-Multi-API
Thailand,15.87,100.9925,0,,,,,,,,,17.1,71.8,236.0,9.784192228886718,-0.022457771113280955,-0.22900553311559968,2025-09-21 17:42:57.914081,Real-World-Multi-API
Vietnam,14.0583,108.2772,0,,,,,,,,,16.7,78.0,186.0,9.783377345483101,-0.023272654516897973,-0.23731503129914877,2025-09-21 17:42:57.914081,Real-World-Multi-API
Malaysia,4.2105,101.9758,0,,,,,,,,,14.5,70.6,164.0,9.780608337722267,-0.026041662277732414,-0.2655510523749947,2025-09-21 17:42:57.914081,Real-World-Multi-API
Singapore,1.3521,103.8198,0,,,,,,,,,19.0,86.3,37.0,9.780358748449538,-0.02629125155046097,-0.2680961546548615,2025-09-21 17:42:57.914081,Real-World-Multi-API
Indonesia,-0.7893,113.9213,0,,,,,,,,,11.9,66.4,170.0,9.780339797910184,-0.026310202089815604,-0.2682893963771074,2025-09-21 17:42:57.914081,Real-World-Multi-API
Philippines,12.8797,121.774,0,,,,,,,,,11.4,63.4,290.0,9.782895990590546,-0.023754009409453047,-0.24222348518049536,2025-09-21 17:42:57.914081,Real-World-Multi-API
New Zealand,-40.9006,174.886,0,,,,,,,,,18.1,84.0,49.0,9.802506263386183,-0.0041437366138161735,-0.04225435407418613,2025-09-21 17:42:57.914081,Real-World-Multi-API
Papua New Guinea,-6.3149,143.9555,0,,,,,,,,,,,,9.780954702376086,-0.02569529762391376,-0.26201911584398097,2025-09-21 17:42:57.914081,Real-World-Multi-API
